
Total nb of words: 64559
1;في;14277;3.78;3.78
2;من;10047;2.66;6.44
3;على;4811;1.27;7.71
4;إلى;3785;1.0;8.72
5;بن;2835;0.75;9.47
6;بوابة;2549;0.67;10.14
7;أن;2507;0.66;10.81
8;عن;1698;0.45;11.26
9;التي;1611;0.43;11.68
10;عام;1569;0.42;12.1
11;و;1459;0.39;12.48
12;كان;1442;0.38;12.87
13;أو;1409;0.37;13.24
14;مع;1380;0.37;13.6
15;ما;1227;0.32;13.93
16;هو;1056;0.28;14.21
17;بعد;1039;0.28;14.48
18;الذي;1011;0.27;14.75
19;بين;984;0.26;15.01
20;عبد;977;0.26;15.27
21;حيث;898;0.24;15.51
22;هذه;897;0.24;15.75
23;هي;871;0.23;15.98
24;الله;864;0.23;16.21
25;هذا;836;0.22;16.43
26;لا;820;0.22;16.64
27;ثم;813;0.22;16.86
28;كانت;808;0.21;17.07
29;سنة;801;0.21;17.29
30;ذلك;799;0.21;17.5
31;وقد;788;0.21;17.71
32;كما;778;0.21;17.91
33;وكان;681;0.18;18.09
34;محمد;676;0.18;18.27
35;حتى;674;0.18;18.45
36;وهو;669;0.18;18.63
37;وفي;648;0.17;18.8
38;قبل;625;0.17;18.96
39;له;612;0.16;19.13
40;مراجع;605;0.16;19.29
41;تم;595;0.16;19.44
42;قد;591;0.16;19.6
43;كل;576;0.15;19.75
44;لم;543;0.14;19.9
45;عدد;533;0.14;20.04
46;المتحدة;532;0.14;20.18
47;وهي;526;0.14;20.32
48;مثل;511;0.14;20.45
49;أبي;511;0.14;20.59
50;غير;478;0.13;20.71
51;علي;477;0.13;20.84
52;مدينة;469;0.12;20.97
53;قال;456;0.12;21.09
54;أبو;449;0.12;21.21
55;أنه;449;0.12;21.32
56;خلال;442;0.12;21.44
57;الولايات;438;0.12;21.56
58;بعض;436;0.12;21.67
59;إلا;433;0.11;21.79
60;فيها;410;0.11;21.9
61;عليه;409;0.11;22.0
62;ومن;406;0.11;22.11
63;أول;404;0.11;22.22
64;المدينة;404;0.11;22.33
65;أكثر;401;0.11;22.43
66;كرة;386;0.1;22.53
67;ابن;378;0.1;22.63
68;موقع;362;0.1;22.73
69;أي;361;0.1;22.83
70;العربية;358;0.09;22.92
71;القرن;350;0.09;23.01
72;عند;347;0.09;23.1
73;بكر;340;0.09;23.19
74;والتي;337;0.09;23.28
75;الذهب;327;0.09;23.37
76;خارجية;326;0.09;23.46
77;عمر;324;0.09;23.54
78;أخرى;315;0.08;23.63
79;منها;315;0.08;23.71
80;يمكن;315;0.08;23.79
81;م;313;0.08;23.88
82;السلة;311;0.08;23.96
83;بها;309;0.08;24.04
84;مصر;308;0.08;24.12
85;يوم;306;0.08;24.2
86;أيضا;306;0.08;24.28
87;ولا;303;0.08;24.36
88;أحد;302;0.08;24.44
89;عشر;300;0.08;24.52
90;حسب;295;0.08;24.6
91;يكون;294;0.08;24.68
92;ولكن;293;0.08;24.76
93;تلك;290;0.08;24.83
94;به;288;0.08;24.91
95;بالإنجليزية;285;0.08;24.99
96;بشكل;280;0.07;25.06
97;بني;280;0.07;25.13
98;لها;278;0.07;25.21
99;فيه;277;0.07;25.28
100;يتم;276;0.07;25.35
101;هولمز;275;0.07;25.43
102;الذين;273;0.07;25.5
103;العالم;273;0.07;25.57
104;عندما;271;0.07;25.64
105;الأول;271;0.07;25.71
106;إن;267;0.07;25.79
107;هـ;267;0.07;25.86
108;وكانت;266;0.07;25.93
109;فقال;263;0.07;26.0
110;الأولى;262;0.07;26.07
111;the;260;0.07;26.13
112;الحرب;259;0.07;26.2
113;أعلام;258;0.07;26.27
114;وذلك;257;0.07;26.34
115;العديد;255;0.07;26.41
116;نسمة;252;0.07;26.47
117;علم;252;0.07;26.54
118;تحت;252;0.07;26.61
119;النبي;248;0.07;26.67
120;هناك;247;0.07;26.74
121;سكانية;243;0.06;26.8
122;فقد;243;0.06;26.87
123;منذ;243;0.06;26.93
124;الدنا;241;0.06;26.99
125;تجمعات;240;0.06;27.06
126;ان;240;0.06;27.12
127;إسكوبار;240;0.06;27.19
128;الأمريكية;237;0.06;27.25
129;حوالي;237;0.06;27.31
130;منطقة;231;0.06;27.37
131;الثاني;231;0.06;27.43
132;جامعة;228;0.06;27.49
133;لكرة;228;0.06;27.55
134;ترامب;226;0.06;27.61
135;الناس;223;0.06;27.67
136;عليها;221;0.06;27.73
137;انظر;217;0.06;27.79
138;الشيخ;217;0.06;27.85
139;تكون;212;0.06;27.9
140;حول;212;0.06;27.96
141;فإن;212;0.06;28.01
142;طريق;211;0.06;28.07
143;العام;210;0.06;28.13
144;بسبب;210;0.06;28.18
145;الإنجليزية;209;0.06;28.24
146;أحمد;206;0.05;28.29
147;الدولة;205;0.05;28.35
148;قام;204;0.05;28.4
149;المملكة;203;0.05;28.45
150;قائمة;203;0.05;28.51
151;عدة;203;0.05;28.56
152;إحدى;202;0.05;28.61
153;إذا;200;0.05;28.67
154;المسلمين;200;0.05;28.72
155;جميع;200;0.05;28.77
156;أكبر;199;0.05;28.83
157;تقع;198;0.05;28.88
158;والذي;197;0.05;28.93
159;ذات;197;0.05;28.98
160;بـ;196;0.05;29.03
161;أما;196;0.05;29.09
162;الوطنية;195;0.05;29.14
163;المغرب;193;0.05;29.19
164;الإسلام;193;0.05;29.24
165;مرة;192;0.05;29.29
166;بلغ;192;0.05;29.34
167;ولم;191;0.05;29.39
168;القدم;190;0.05;29.44
169;العزيز;188;0.05;29.49
170;باسم;188;0.05;29.54
171;منهم;188;0.05;29.59
172;يا;188;0.05;29.64
173;مما;187;0.05;29.69
174;مجلس;186;0.05;29.74
175;اسم;184;0.05;29.79
176;اليمن;184;0.05;29.84
177;الملك;183;0.05;29.89
178;of;179;0.05;29.93
179;أنها;179;0.05;29.98
180;الاتحاد;177;0.05;30.03
181;جغرافيا;176;0.05;30.08
182;نسبة;176;0.05;30.12
183;بنت;176;0.05;30.17
184;داخل;173;0.05;30.21
185;تاريخ;173;0.05;30.26
186;حين;173;0.05;30.31
187;فقط;172;0.05;30.35
188;يوجد;171;0.05;30.4
189;سكانها;170;0.05;30.44
190;وصلات;170;0.05;30.49
191;رسول;170;0.05;30.53
192;المراجع;169;0.04;30.58
193;دور;168;0.04;30.62
194;منه;168;0.04;30.67
195;بأن;168;0.04;30.71
196;أهل;167;0.04;30.75
197;كبير;167;0.04;30.8
198;مجموعة;165;0.04;30.84
199;خالد;163;0.04;30.89
200;الثانية;162;0.04;30.93
201;وقال;160;0.04;30.97
202;الوقت;159;0.04;31.01
203;الجزيرة;159;0.04;31.05
204;بدأ;159;0.04;31.1
205;أولاد;158;0.04;31.14
206;اللغة;158;0.04;31.18
207;الأخرى;158;0.04;31.22
208;أثناء;157;0.04;31.26
209;دون;157;0.04;31.31
210;فيما;157;0.04;31.35
211;المنطقة;156;0.04;31.39
212;وبعد;155;0.04;31.43
213;تعداد;155;0.04;31.47
214;آخر;153;0.04;31.51
215;نفس;153;0.04;31.55
216;ضد;152;0.04;31.59
217;إسرائيل;151;0.04;31.63
218;الوطني;151;0.04;31.67
219;عملية;150;0.04;31.71
220;حماس;150;0.04;31.75
221;التاريخ;149;0.04;31.79
222;دولار;148;0.04;31.83
223;إليه;147;0.04;31.87
224;العالمية;147;0.04;31.91
225;شركة;147;0.04;31.95
226;وهم;147;0.04;31.99
227;العرب;146;0.04;32.02
228;بالإضافة;146;0.04;32.06
229;المنصور;146;0.04;32.1
230;عقد;145;0.04;32.14
231;كتب;145;0.04;32.18
232;مليون;144;0.04;32.22
233;البنا;144;0.04;32.25
234;يقع;143;0.04;32.29
235;خاصة;143;0.04;32.33
236;عنه;143;0.04;32.37
237;آل;143;0.04;32.41
238;بل;142;0.04;32.44
239;كبيرة;142;0.04;32.48
240;الزبير;141;0.04;32.52
241;واحدة;140;0.04;32.56
242;رئيس;140;0.04;32.59
243;قدم;140;0.04;32.63
244;مكة;140;0.04;32.67
245;واحد;139;0.04;32.7
246;ولد;139;0.04;32.74
247;اليوم;138;0.04;32.78
248;لكن;138;0.04;32.81
249;محافظة;138;0.04;32.85
250;الموقع;138;0.04;32.89
251;السعودية;138;0.04;32.92
252;بما;137;0.04;32.96
253;حركة;136;0.04;33.0
254;عبر;136;0.04;33.03
255;العمل;135;0.04;33.07
256;معظم;135;0.04;33.1
257;الخليفة;135;0.04;33.14
258;جنوب;135;0.04;33.17
259;جوجل;135;0.04;33.21
260;إيران;134;0.04;33.25
261;المركز;134;0.04;33.28
262;وجود;134;0.04;33.32
263;مركز;134;0.04;33.35
264;استخدام;133;0.04;33.39
265;درجة;133;0.04;33.42
266;القديمة;133;0.04;33.46
267;فلما;133;0.04;33.49
268;الدين;132;0.03;33.53
269;بنو;132;0.03;33.56
270;الرسمي;131;0.03;33.6
271;الأرض;131;0.03;33.63
272;إلي;131;0.03;33.67
