
Total nb of words: 66669
1;v;9809;2.97;2.97
2;a;9778;2.96;5.93
3;na;5818;1.76;7.69
4;se;5564;1.68;9.37
5;je;3520;1.07;10.44
6;z;2808;0.85;11.29
7;ve;2311;0.7;11.99
8;s;2257;0.68;12.67
9;do;2144;0.65;13.32
10;byl;1843;0.56;13.88
11;k;1596;0.48;14.36
12;roce;1466;0.44;14.81
13;i;1454;0.44;15.25
14;o;1417;0.43;15.67
15;roku;1360;0.41;16.09
16;jako;1268;0.38;16.47
17;od;1248;0.38;16.85
18;za;1203;0.36;17.21
19;po;1185;0.36;17.57
20;pro;1145;0.35;17.92
21;byla;1009;0.31;18.22
22;odkazy;990;0.3;18.52
23;jeho;886;0.27;18.79
24;že;830;0.25;19.04
25;jsou;820;0.25;19.29
26;který;680;0.21;19.5
27;u;674;0.2;19.7
28;až;664;0.2;19.9
29;také;663;0.2;20.1
30;nebo;653;0.2;20.3
31;které;646;0.2;20.49
32;ale;636;0.19;20.69
33;externí;629;0.19;20.88
34;či;612;0.19;21.06
35;reference;594;0.18;21.24
36;bylo;543;0.16;21.41
37;první;517;0.16;21.56
38;při;503;0.15;21.72
39;mezi;502;0.15;21.87
40;to;499;0.15;22.02
41;ze;493;0.15;22.17
42;letech;479;0.14;22.31
43;která;478;0.14;22.46
44;století;474;0.14;22.6
45;tak;467;0.14;22.74
46;kde;462;0.14;22.88
47;článku;451;0.14;23.02
48;byly;445;0.13;23.15
49;si;442;0.13;23.29
50;však;420;0.13;23.41
51;let;404;0.12;23.54
52;medaile;403;0.12;23.66
53;the;396;0.12;23.78
54;commons;379;0.11;23.89
55;wikimedia;379;0.11;24.01
56;má;370;0.11;24.12
57;obrázky;370;0.11;24.23
58;videa;370;0.11;24.34
59;zvuky;369;0.11;24.46
60;tématu;366;0.11;24.57
61;zde;356;0.11;24.67
62;praha;350;0.11;24.78
63;jejich;332;0.1;24.88
64;podle;332;0.1;24.98
65;pak;325;0.1;25.08
66;své;307;0.09;25.17
67;další;295;0.09;25.26
68;pod;292;0.09;25.35
69;když;292;0.09;25.44
70;nad;292;0.09;25.53
71;of;286;0.09;25.61
72;anglicky;284;0.09;25.7
73;již;284;0.09;25.78
74;tomto;279;0.08;25.87
75;později;266;0.08;25.95
76;být;264;0.08;26.03
77;jen;260;0.08;26.11
78;kdy;260;0.08;26.19
79;než;260;0.08;26.27
80;města;259;0.08;26.34
81;aby;257;0.08;26.42
82;stal;252;0.08;26.5
83;für;250;0.08;26.57
84;před;247;0.07;26.65
85;české;245;0.07;26.72
86;během;238;0.07;26.79
87;nachází;236;0.07;26.87
88;době;229;0.07;26.94
89;isbn;228;0.07;27.0
90;místo;227;0.07;27.07
91;této;226;0.07;27.14
92;části;226;0.07;27.21
93;ho;224;0.07;27.28
94;ke;218;0.07;27.34
95;území;216;0.07;27.41
96;historie;216;0.07;27.47
97;de;215;0.07;27.54
98;by;215;0.07;27.6
99;poté;214;0.06;27.67
100;její;213;0.06;27.73
101;wikipedii;212;0.06;27.8
102;část;212;0.06;27.86
103;textu;209;0.06;27.93
104;pouze;208;0.06;27.99
105;x;207;0.06;28.05
106;překlad;204;0.06;28.11
107;použit;199;0.06;28.17
108;ji;199;0.06;28.23
109;proti;197;0.06;28.29
110;články;196;0.06;28.35
111;der;195;0.06;28.41
112;tento;194;0.06;28.47
113;související;193;0.06;28.53
114;války;193;0.06;28.59
115;in;190;0.06;28.64
116;měl;190;0.06;28.7
117;např;188;0.06;28.76
118;což;187;0.06;28.82
119;obce;187;0.06;28.87
120;sv;185;0.06;28.93
121;může;182;0.06;28.98
122;dva;181;0.05;29.04
123;obyvatel;180;0.05;29.09
124;km;180;0.05;29.15
125;země;179;0.05;29.2
126;mu;178;0.05;29.26
127;seznam;178;0.05;29.31
128;více;176;0.05;29.36
129;open;176;0.05;29.42
130;získal;173;0.05;29.47
131;například;169;0.05;29.52
132;přes;168;0.05;29.57
133;velmi;168;0.05;29.62
134;jak;166;0.05;29.67
135;literatura;165;0.05;29.72
136;listopadu;165;0.05;29.77
137;druhé;164;0.05;29.82
138;období;164;0.05;29.87
139;ještě;164;0.05;29.92
140;světa;163;0.05;29.97
141;m;161;0.05;30.02
142;tři;160;0.05;30.07
143;byli;160;0.05;30.11
144;dvou;157;0.05;30.16
145;hlavní;157;0.05;30.21
146;několik;155;0.05;30.26
147;bez;154;0.05;30.3
148;září;154;0.05;30.35
149;světové;154;0.05;30.4
150;český;153;0.05;30.44
151;svého;152;0.05;30.49
152;ii;152;0.05;30.53
153;proto;150;0.05;30.58
154;svou;150;0.05;30.63
155;dubna;149;0.05;30.67
156;tzv;148;0.04;30.72
157;jan;147;0.04;30.76
158;května;145;0.04;30.8
159;června;144;0.04;30.85
160;především;144;0.04;30.89
161;anglické;142;0.04;30.93
162;umění;142;0.04;30.98
163;město;142;0.04;31.02
164;dvě;141;0.04;31.06
165;kříž;141;0.04;31.11
166;život;140;0.04;31.15
167;co;139;0.04;31.19
168;oficiální;139;0.04;31.23
169;asi;139;0.04;31.27
170;josef;138;0.04;31.32
171;titul;138;0.04;31.36
172;srpna;138;0.04;31.4
173;řád;138;0.04;31.44
174;název;137;0.04;31.48
175;galerie;137;0.04;31.52
176;mají;137;0.04;31.57
177;velké;134;0.04;31.61
178;tato;134;0.04;31.65
179;oblasti;133;0.04;31.69
180;mistrovství;133;0.04;31.73
181;jeden;132;0.04;31.77
182;nové;132;0.04;31.81
183;protože;131;0.04;31.85
184;tedy;131;0.04;31.89
185;není;130;0.04;31.93
186;dále;130;0.04;31.97
187;února;130;0.04;32.0
188;března;129;0.04;32.04
189;už;129;0.04;32.08
190;často;129;0.04;32.12
191;rok;129;0.04;32.16
192;čr;129;0.04;32.2
193;praze;128;0.04;32.24
194;skupiny;127;0.04;32.28
195;usa;127;0.04;32.32
196;new;126;0.04;32.35
197;poslední;126;0.04;32.39
198;ledna;125;0.04;32.43
199;října;125;0.04;32.47
200;tohoto;125;0.04;32.51
201;kteří;124;0.04;32.54
202;spolu;124;0.04;32.58
203;kostel;124;0.04;32.62
204;okres;123;0.04;32.65
205;července;122;0.04;32.69
206;vyznamenání;122;0.04;32.73
207;poprvé;120;0.04;32.77
208;stala;119;0.04;32.8
209;stránky;119;0.04;32.84
210;lze;119;0.04;32.87
211;jej;118;0.04;32.91
212;česká;118;0.04;32.94
213;kterou;117;0.04;32.98
214;dalších;116;0.04;33.02
