
Total nb of words: 65376
1;der;16617;4.06;4.06
2;die;11890;2.91;6.97
3;und;11813;2.89;9.86
4;in;9683;2.37;12.23
5;von;6454;1.58;13.81
6;im;4743;1.16;14.96
7;den;4492;1.1;16.06
8;des;4296;1.05;17.11
9;mit;3801;0.93;18.04
10;das;3695;0.9;18.95
11;dem;3026;0.74;19.69
12;er;3006;0.74;20.42
13;ist;2869;0.7;21.12
14;als;2844;0.7;21.82
15;für;2780;0.68;22.5
16;wurde;2732;0.67;23.17
17;auf;2681;0.66;23.82
18;ein;2595;0.63;24.46
19;eine;2522;0.62;25.07
20;zu;2517;0.62;25.69
21;sich;2116;0.52;26.21
22;an;1963;0.48;26.69
23;nach;1867;0.46;27.14
24;am;1816;0.44;27.59
25;bei;1813;0.44;28.03
26;war;1800;0.44;28.47
27;aus;1790;0.44;28.91
28;auch;1649;0.4;29.31
29;bis;1531;0.37;29.69
30;sie;1447;0.35;30.04
31;zum;1338;0.33;30.37
32;einer;1227;0.3;30.67
33;es;1209;0.3;30.96
34;durch;1136;0.28;31.24
35;wird;1133;0.28;31.52
36;werden;1071;0.26;31.78
37;zur;1053;0.26;32.04
38;über;1044;0.26;32.29
39;sind;1041;0.25;32.55
40;nicht;1010;0.25;32.79
41;oder;1007;0.25;33.04
42;einem;930;0.23;33.27
43;einen;795;0.19;33.46
44;vom;784;0.19;33.65
45;um;783;0.19;33.84
46;unter;764;0.19;34.03
47;the;690;0.17;34.2
48;wurden;689;0.17;34.37
49;weblinks;670;0.16;34.53
50;wie;653;0.16;34.69
51;dass;640;0.16;34.85
52;vor;637;0.16;35.0
53;jahr;610;0.15;35.15
54;isbn;604;0.15;35.3
55;seine;597;0.15;35.45
56;of;575;0.14;35.59
57;nur;571;0.14;35.73
58;seit;569;0.14;35.87
59;jahre;552;0.13;36.0
60;noch;550;0.13;36.14
61;seiner;528;0.13;36.27
62;einzelnachweise;527;0.13;36.39
63;eines;509;0.12;36.52
64;sowie;498;0.12;36.64
65;aber;485;0.12;36.76
66;hat;478;0.12;36.88
67;zwei;477;0.12;36.99
68;so;472;0.12;37.11
69;ab;468;0.11;37.22
70;sein;463;0.11;37.34
71;zwischen;459;0.11;37.45
72;deutschen;456;0.11;37.56
73;de;451;0.11;37.67
74;diese;448;0.11;37.78
75;jahren;440;0.11;37.89
76;literatur;420;0.1;37.99
77;stadt;417;0.1;38.09
78;dieser;415;0.1;38.19
79;hatte;412;0.1;38.29
80;etwa;371;0.09;38.38
81;waren;371;0.09;38.47
82;ersten;369;0.09;38.57
83;jedoch;360;0.09;38.65
84;geschichte;348;0.09;38.74
85;drei;327;0.08;38.82
86;später;324;0.08;38.9
87;heute;323;0.08;38.98
88;da;320;0.08;39.05
89;mehr;319;0.08;39.13
90;ihre;315;0.08;39.21
91;deutscher;313;0.08;39.29
92;zeit;312;0.08;39.36
93;leben;307;0.08;39.44
94;kann;305;0.07;39.51
95;beim;304;0.07;39.59
96;man;303;0.07;39.66
97;englisch;302;0.07;39.73
98;während;293;0.07;39.81
99;band;293;0.07;39.88
100;januar;290;0.07;39.95
101;deutschland;289;0.07;40.02
102;gegen;287;0.07;40.09
103;seinen;285;0.07;40.16
104;a;282;0.07;40.23
105;dort;278;0.07;40.3
106;liegt;278;0.07;40.36
107;bereits;270;0.07;40.43
108;mai;269;0.07;40.5
109;teil;266;0.07;40.56
110;wieder;260;0.06;40.62
111;august;259;0.06;40.69
112;deutsche;259;0.06;40.75
113;oktober;256;0.06;40.81
114;ihr;254;0.06;40.88
115;m;254;0.06;40.94
116;seinem;252;0.06;41.0
117;erste;250;0.06;41.06
118;weitere;248;0.06;41.12
119;ihm;247;0.06;41.18
120;juli;247;0.06;41.24
121;alle;246;0.06;41.3
122;jahrhundert;241;0.06;41.36
123;verlag;240;0.06;41.42
124;september;237;0.06;41.48
125;berlin;237;0.06;41.54
126;ende;236;0.06;41.59
127;damit;235;0.06;41.65
128;märz;234;0.06;41.71
129;anderen;233;0.06;41.77
130;können;231;0.06;41.82
131;sehr;229;0.06;41.88
132;april;221;0.05;41.93
133;dabei;220;0.05;41.99
134;konnte;219;0.05;42.04
135;and;219;0.05;42.09
136;dezember;216;0.05;42.15
137;münchen;211;0.05;42.2
138;gibt;211;0.05;42.25
139;haben;209;0.05;42.3
140;beiden;206;0.05;42.35
141;zusammen;203;0.05;42.4
142;keine;202;0.05;42.45
143;juni;202;0.05;42.5
144;kirche;201;0.05;42.55
145;griechenland;200;0.05;42.6
146;november;199;0.05;42.65
147;dann;199;0.05;42.69
148;ihn;198;0.05;42.74
149;deren;197;0.05;42.79
150;gemeinde;197;0.05;42.84
151;new;195;0.05;42.89
152;vier;194;0.05;42.93
153;ihrer;193;0.05;42.98
154;kam;192;0.05;43.03
155;bekannt;189;0.05;43.07
156;neben;188;0.05;43.12
157;wo;188;0.05;43.17
158;februar;187;0.05;43.21
159;diesem;185;0.05;43.26
160;erst;181;0.04;43.3
161;zweiten;180;0.04;43.35
162;neue;180;0.04;43.39
163;i;180;0.04;43.43
164;namen;179;0.04;43.48
165;prozent;178;0.04;43.52
166;ebenfalls;177;0.04;43.56
167;erhielt;176;0.04;43.61
168;s;175;0.04;43.65
169;la;174;0.04;43.69
170;saison;174;0.04;43.73
171;dessen;174;0.04;43.78
172;film;174;0.04;43.82
173;großen;173;0.04;43.86
174;allem;172;0.04;43.9
175;hrsg;171;0.04;43.95
176;gab;170;0.04;43.99
177;honig;170;0.04;44.03
178;meter;169;0.04;44.07
179;neuen;169;0.04;44.11
180;x;169;0.04;44.15
181;ii;167;0.04;44.19
182;km;167;0.04;44.23
183;ihren;166;0.04;44.28
184;folge;165;0.04;44.32
185;universität;164;0.04;44.36
186;zurück;163;0.04;44.4
187;dieses;162;0.04;44.44
188;zunächst;161;0.04;44.47
189;n;160;0.04;44.51
190;anderem;158;0.04;44.55
191;platz;158;0.04;44.59
192;große;158;0.04;44.63
193;aufgrund;158;0.04;44.67
194;mitglied;158;0.04;44.71
195;sohn;157;0.04;44.75
196;familie;156;0.04;44.78
197;hamburg;156;0.04;44.82
198;siehe;156;0.04;44.86
199;hier;155;0.04;44.9
200;ort;155;0.04;44.94
201;stand;154;0.04;44.97
202;statt;153;0.04;45.01
203;einige;152;0.04;45.05
204;allerdings;151;0.04;45.08
205;bzw;151;0.04;45.12
206;dies;150;0.04;45.16
207;selbst;150;0.04;45.2
208;fünf;148;0.04;45.23
209;was;148;0.04;45.27
210;denen;147;0.04;45.3
211;befindet;147;0.04;45.34
212;rund;147;0.04;45.38
213;album;146;0.04;45.41
214;andere;145;0.04;45.45
215;mehrere;144;0.04;45.48
216;tod;143;0.03;45.52
217;außerdem;141;0.03;45.55
218;wenn;141;0.03;45.59
219;gewann;140;0.03;45.62
220;erstmals;139;0.03;45.65
221;steht;139;0.03;45.69
222;schon;138;0.03;45.72
223;titel;138;0.03;45.76
224;nachdem;138;0.03;45.79
225;wegen;137;0.03;45.82
226;heinrich;137;0.03;45.86
227;karl;135;0.03;45.89
228;seines;134;0.03;45.92
229;könig;134;0.03;45.95
230;ihrem;133;0.03;45.99
231;spielte;132;0.03;46.02
232;immer;132;0.03;46.05
233;besteht;132;0.03;46.08
234;ins;131;0.03;46.12
235;menschen;131;0.03;46.15
236;begann;131;0.03;46.18
237;jahrhunderts;130;0.03;46.21
238;meist;130;0.03;46.24
239;unternehmen;130;0.03;46.28
240;gehört;129;0.03;46.31
241;peter;127;0.03;46.34
242;university;127;0.03;46.37
243;z;127;0.03;46.4
244;art;127;0.03;46.43
245;bezeichnet;127;0.03;46.46
246;nahm;126;0.03;46.49
247;ohne;126;0.03;46.52
248;errichtet;126;0.03;46.55
249;bevölkerung;124;0.03;46.59
250;liste;124;0.03;46.62
251;soll;124;0.03;46.65
252;regie;124;0.03;46.68
253;viele;123;0.03;46.71
254;worden;123;0.03;46.74
255;friedrich;123;0.03;46.77
256;politiker;121;0.03;46.8
257;rolle;121;0.03;46.83
258;sondern;121;0.03;46.86
259;internet;120;0.03;46.88
260;usa;120;0.03;46.91
261;t;120;0.03;46.94
262;dazu;120;0.03;46.97
263;johann;119;0.03;47.0
264;millionen;119;0.03;47.03
265;kinder;118;0.03;47.06
266;doch;117;0.03;47.09
267;john;117;0.03;47.12
268;schließlich;117;0.03;47.15
269;werke;117;0.03;47.17
270;diesen;116;0.03;47.2
271;anfang;116;0.03;47.23
272;op;116;0.03;47.26
273;paris;115;0.03;47.29
274;schloss;115;0.03;47.32
275;jeweils;115;0.03;47.34
276;gehörte;115;0.03;47.37
277;fernsehserie;114;0.03;47.4
278;zudem;114;0.03;47.43
279;tochter;113;0.03;47.45
280;neu;112;0.03;47.48
281;trat;110;0.03;47.51
282;ging;110;0.03;47.54
283;muss;110;0.03;47.56
284;je;110;0.03;47.59
285;danach;109;0.03;47.62
286;verwendet;109;0.03;47.64
287;franz;109;0.03;47.67
288;griechischen;109;0.03;47.7
289;insbesondere;108;0.03;47.72
290;gilt;108;0.03;47.75
291;insgesamt;108;0.03;47.78
292;kaiser;108;0.03;47.8
293;york;107;0.03;47.83
294;nr;107;0.03;47.85
295;beispiel;106;0.03;47.88
296;bereich;106;0.03;47.91
297;weiteren;105;0.03;47.93
298;rahmen;105;0.03;47.96
299;frauen;104;0.03;47.98
300;michael;103;0.03;48.01
301;einwohner;103;0.03;48.03
302;schmidt;103;0.03;48.06
303;frankreich;102;0.02;48.08
304;darauf;102;0.02;48.11
305;website;102;0.02;48.13
306;bedeutung;101;0.02;48.16
307;genannt;101;0.02;48.18
308;studierte;101;0.02;48.21
309;stuttgart;101;0.02;48.23
310;wien;101;0.02;48.26
311;offizielle;101;0.02;48.28
312;entwicklung;100;0.02;48.31
313;welche;100;0.02;48.33
314;haus;100;0.02;48.35
315;seite;100;0.02;48.38
316;josef;100;0.02;48.4
317;welt;100;0.02;48.43
318;international;100;0.02;48.45
319;insel;99;0.02;48.48
320;pro;98;0.02;48.5
321;weiter;98;0.02;48.52
322;finden;98;0.02;48.55
323;deutsch;98;0.02;48.57
324;erfolgte;97;0.02;48.6
325;ca;97;0.02;48.62
326;beispielsweise;96;0.02;48.64
327;findet;96;0.02;48.67
328;gebiet;96;0.02;48.69
329;gruppe;96;0.02;48.71
330;verschiedenen;96;0.02;48.74
331;museum;95;0.02;48.76
332;form;95;0.02;48.78
333;kommt;95;0.02;48.81
334;meisten;95;0.02;48.83
335;auguste;94;0.02;48.85
336;fand;94;0.02;48.88
337;also;94;0.02;48.9
338;daher;94;0.02;48.92
339;london;93;0.02;48.95
340;sollte;93;0.02;48.97
341;land;93;0.02;48.99
342;erreichte;93;0.02;49.01
343;karriere;93;0.02;49.04
344;hans;93;0.02;49.06
345;arbeitete;93;0.02;49.08
346;frankfurt;93;0.02;49.1
347;gmbh;93;0.02;49.13
348;personen;93;0.02;49.15
349;lang;93;0.02;49.17
350;thomas;93;0.02;49.2
351;tätig;92;0.02;49.22
352;datenbank;92;0.02;49.24
353;frau;92;0.02;49.26
354;maria;92;0.02;49.29
355;eingesetzt;92;0.02;49.31
356;wobei;91;0.02;49.33
357;hatten;91;0.02;49.35
358;gebäude;91;0.02;49.37
359;damals;91;0.02;49.4
360;besonders;91;0.02;49.42
361;letzten;91;0.02;49.44
362;wilhelm;91;0.02;49.46
363;county;91;0.02;49.49
364;wasser;91;0.02;49.51
365;allen;90;0.02;49.53
366;paul;90;0.02;49.55
367;starb;90;0.02;49.57
368;folgen;90;0.02;49.6
369;erneut;89;0.02;49.62
370;sei;89;0.02;49.64
371;alter;89;0.02;49.66
372;euro;89;0.02;49.68
373;führte;89;0.02;49.7
374;übernahm;89;0.02;49.73
375;beide;89;0.02;49.75
376;erhalten;89;0.02;49.77
377;robert;89;0.02;49.79
378;schweiz;89;0.02;49.81
379;betrieb;88;0.02;49.84
380;führt;88;0.02;49.86
381;kloster;88;0.02;49.88
382;köln;87;0.02;49.9
383;vater;87;0.02;49.92
384;kurz;87;0.02;49.94
385;b;87;0.02;49.96
386;p;87;0.02;49.98
387;blieb;86;0.02;50.01
388;sechs;86;0.02;50.03
389;gut;86;0.02;50.05
390;mal;86;0.02;50.07
391;folgenden;85;0.02;50.09
392;eigenen;85;0.02;50.11
393;anton;85;0.02;50.13
394;europäischen;85;0.02;50.15
395;ustinov;85;0.02;50.17
396;spielen;84;0.02;50.19
397;musste;84;0.02;50.21
398;musik;84;0.02;50.23
399;innerhalb;84;0.02;50.25
400;gehören;84;0.02;50.28
401;staaten;84;0.02;50.3
402;for;83;0.02;50.32
403;anschließend;83;0.02;50.34
404;nun;83;0.02;50.36
405;chicago;83;0.02;50.38
406;l;82;0.02;50.4
407;entstand;82;0.02;50.42
408;oft;82;0.02;50.44
409;kommen;82;0.02;50.46
410;to;82;0.02;50.48
411;auflage;81;0.02;50.5
412;verschiedene;81;0.02;50.52
413;regierung;81;0.02;50.54
414;kilometer;81;0.02;50.56
415;city;81;0.02;50.58
416;lage;81;0.02;50.6
417;gegenüber;81;0.02;50.62
418;arten;81;0.02;50.64
419;roman;81;0.02;50.66
420;fast;79;0.02;50.68
421;auswahl;79;0.02;50.69
422;gegründet;79;0.02;50.71
423;kunst;79;0.02;50.73
424;französischen;78;0.02;50.75
425;park;78;0.02;50.77
426;fall;78;0.02;50.79
427;ernst;78;0.02;50.81
428;zahlreiche;78;0.02;50.83
429;jahres;78;0.02;50.85
430;o;78;0.02;50.87
431;mitte;78;0.02;50.89
432;elisabeth;78;0.02;50.9
433;system;77;0.02;50.92
434;wechselte;77;0.02;50.94
435;gewählt;77;0.02;50.96
436;georg;77;0.02;50.98
437;kind;77;0.02;51.0
438;abgerufen;77;0.02;51.02
439;world;76;0.02;51.04
440;letzte;76;0.02;51.05
441;iii;76;0.02;51.07
442;alten;76;0.02;51.09
443;sieben;76;0.02;51.11
444;d;75;0.02;51.13
445;geboren;75;0.02;51.15
446;katalog;75;0.02;51.17
447;einsatz;75;0.02;51.18
448;häufig;75;0.02;51.2
449;name;75;0.02;51.22
450;kleine;75;0.02;51.24
451;buch;75;0.02;51.26
452;h;75;0.02;51.28
453;schauspieler;74;0.02;51.29
454;arbeiten;74;0.02;51.31
455;genutzt;74;0.02;51.33
456;bau;74;0.02;51.35
457;ebenso;74;0.02;51.37
458;sowohl;74;0.02;51.38
459;somit;74;0.02;51.4
460;acht;74;0.02;51.42
461;landes;74;0.02;51.44
462;bordeaux;74;0.02;51.46
463;database;73;0.02;51.47
464;internationalen;73;0.02;51.49
465;bezeichnung;73;0.02;51.51
466;anzahl;73;0.02;51.53
467;zweite;73;0.02;51.55
468;einigen;73;0.02;51.56
469;gründete;73;0.02;51.58
470;krieg;73;0.02;51.6
471;sommer;73;0.02;51.62
472;zwar;73;0.02;51.64
473;davon;73;0.02;51.65
474;team;73;0.02;51.67
475;gesellschaft;72;0.02;51.69
476;kein;72;0.02;51.71
477;setzte;72;0.02;51.72
478;teilweise;72;0.02;51.74
479;werk;72;0.02;51.76
480;kleinen;72;0.02;51.78
481;bisher;72;0.02;51.79
482;schweizer;72;0.02;51.81
483;stark;71;0.02;51.83
484;ich;71;0.02;51.85
485;gleichen;71;0.02;51.86
486;lange;71;0.02;51.88
487;rudolf;71;0.02;51.9
488;iod;71;0.02;51.92
489;kultur;70;0.02;51.93
490;ursprünglich;70;0.02;51.95
491;ehe;70;0.02;51.97
492;tag;70;0.02;51.98
493;europa;70;0.02;52.0
494;griechische;70;0.02;52.02
495;darunter;69;0.02;52.04
496;le;69;0.02;52.05
497;quellen;69;0.02;52.07
498;ihres;69;0.02;52.09
499;weil;69;0.02;52.1
500;richard;69;0.02;52.12
501;spieler;69;0.02;52.14
502;comte;68;0.02;52.15
503;konnten;68;0.02;52.17
