
Total nb of words: 45398
1;de;34710;8.08;8.08
2;la;17451;4.06;12.15
3;en;14882;3.47;15.61
4;el;13778;3.21;18.82
5;y;11312;2.63;21.45
6;a;7080;1.65;23.1
7;que;6453;1.5;24.61
8;del;6266;1.46;26.06
9;los;5401;1.26;27.32
10;se;4573;1.06;28.39
11;por;4537;1.06;29.44
12;un;3958;0.92;30.36
13;con;3918;0.91;31.28
14;una;3915;0.91;32.19
15;las;3536;0.82;33.01
16;su;3454;0.8;33.82
17;es;2776;0.65;34.46
18;como;2469;0.57;35.04
19;para;2390;0.56;35.59
20;al;2262;0.53;36.12
21;fue;1965;0.46;36.58
22;más;1373;0.32;36.9
23;no;1289;0.3;37.2
24;sus;1090;0.25;37.45
25;o;1032;0.24;37.69
26;también;990;0.23;37.92
27;the;930;0.22;38.14
28;lo;908;0.21;38.35
29;sobre;844;0.2;38.55
30;entre;796;0.19;38.73
31;referencias;773;0.18;38.91
32;este;683;0.16;39.07
33;desde;632;0.15;39.22
34;años;629;0.15;39.37
35;dos;609;0.14;39.51
36;of;603;0.14;39.65
37;año;590;0.14;39.79
38;enlaces;582;0.14;39.92
39;externos;582;0.14;40.06
40;hasta;582;0.14;40.19
41;ha;568;0.13;40.32
42;durante;568;0.13;40.46
43;parte;565;0.13;40.59
44;donde;548;0.13;40.72
45;le;546;0.13;40.84
46;esta;531;0.12;40.97
47;pero;525;0.12;41.09
48;son;516;0.12;41.21
49;primera;481;0.11;41.32
50;ser;474;0.11;41.43
51;era;449;0.1;41.54
52;sin;440;0.1;41.64
53;después;432;0.1;41.74
54;san;417;0.1;41.84
55;está;417;0.1;41.93
56;gran;416;0.1;42.03
57;había;414;0.1;42.13
58;tiene;410;0.1;42.22
59;ciudad;396;0.09;42.31
60;e;386;0.09;42.4
61;primer;383;0.09;42.49
62;cuando;372;0.09;42.58
63;historia;367;0.09;42.66
64;nacional;359;0.08;42.75
65;cual;338;0.08;42.83
66;población;332;0.08;42.9
67;otros;331;0.08;42.98
68;nombre;324;0.08;43.06
69;universidad;323;0.08;43.13
70;mismo;320;0.07;43.21
71;ya;316;0.07;43.28
72;uno;306;0.07;43.35
73;eran;305;0.07;43.42
74;i;305;0.07;43.49
75;así;302;0.07;43.56
76;encuentra;298;0.07;43.63
77;tres;296;0.07;43.7
78;estados;294;0.07;43.77
79;vez;294;0.07;43.84
80;muy;294;0.07;43.91
81;contra;293;0.07;43.98
82;and;290;0.07;44.04
83;forma;288;0.07;44.11
84;según;288;0.07;44.18
85;además;279;0.06;44.24
86;fueron;274;0.06;44.31
87;general;272;0.06;44.37
88;categoría;272;0.06;44.43
89;siglo;272;0.06;44.5
90;tras;269;0.06;44.56
91;sido;266;0.06;44.62
92;nueva;266;0.06;44.68
93;unidos;265;0.06;44.74
94;mayor;263;0.06;44.81
95;equipo;262;0.06;44.87
96;bajo;262;0.06;44.93
97;familia;261;0.06;44.99
98;juan;258;0.06;45.05
99;inglés;257;0.06;45.11
100;estado;256;0.06;45.17
101;río;256;0.06;45.23
102;españa;256;0.06;45.29
103;véase;254;0.06;45.35
104;tiempo;250;0.06;45.4
105;aunque;247;0.06;45.46
106;cada;244;0.06;45.52
107;municipio;239;0.06;45.57
108;club;237;0.06;45.63
109;junto;230;0.05;45.68
110;julio;226;0.05;45.74
111;premio;226;0.05;45.79
112;todo;225;0.05;45.84
113;lugar;224;0.05;45.89
114;partido;223;0.05;45.95
115;madrid;222;0.05;46.0
116;siendo;221;0.05;46.05
117;grupo;220;0.05;46.1
118;ese;219;0.05;46.15
119;estaba;219;0.05;46.2
120;gobierno;218;0.05;46.25
121;in;218;0.05;46.3
122;personas;216;0.05;46.35
123;puede;216;0.05;46.4
124;mundo;214;0.05;46.45
125;álbum;213;0.05;46.5
126;alberga;213;0.05;46.55
127;ella;213;0.05;46.6
128;marzo;212;0.05;46.65
129;vida;212;0.05;46.7
130;quien;212;0.05;46.75
131;provincia;212;0.05;46.8
132;habitantes;211;0.05;46.85
133;serie;211;0.05;46.9
134;centro;210;0.05;46.95
135;sur;210;0.05;47.0
136;otras;210;0.05;47.04
137;número;210;0.05;47.09
138;commons;210;0.05;47.14
139;final;209;0.05;47.19
140;norte;207;0.05;47.24
141;temporada;206;0.05;47.29
142;día;205;0.05;47.34
143;luego;205;0.05;47.38
144;josé;204;0.05;47.43
145;multimedia;204;0.05;47.48
146;obra;204;0.05;47.53
147;nuevo;204;0.05;47.57
148;mundial;204;0.05;47.62
149;wikimedia;203;0.05;47.67
150;guerra;202;0.05;47.71
151;mientras;200;0.05;47.76
152;si;199;0.05;47.81
153;segunda;198;0.05;47.85
154;todos;194;0.05;47.9
155;diciembre;193;0.04;47.94
156;presidente;192;0.04;47.99
157;santa;192;0.04;48.03
158;canción;191;0.04;48.08
159;hacia;189;0.04;48.12
160;oficial;188;0.04;48.17
161;él;188;0.04;48.21
162;debido;187;0.04;48.25
163;sistema;187;0.04;48.3
164;iglesia;187;0.04;48.34
165;han;184;0.04;48.38
166;total;184;0.04;48.43
167;embargo;183;0.04;48.47
168;presentado;183;0.04;48.51
169;mayo;181;0.04;48.55
170;país;180;0.04;48.59
171;abril;180;0.04;48.64
172;millones;180;0.04;48.68
173;enero;179;0.04;48.72
174;argentina;177;0.04;48.76
175;banda;175;0.04;48.8
176;tenía;174;0.04;48.84
177;antes;173;0.04;48.88
178;septiembre;172;0.04;48.92
179;maría;172;0.04;48.96
180;otro;171;0.04;49.0
181;región;170;0.04;49.04
182;tanto;169;0.04;49.08
183;octubre;168;0.04;49.12
184;barcelona;168;0.04;49.16
185;noviembre;167;0.04;49.2
186;mejor;167;0.04;49.24
187;través;167;0.04;49.28
188;división;167;0.04;49.32
189;hay;166;0.04;49.35
190;grandes;166;0.04;49.39
191;carrera;165;0.04;49.43
192;isbn;165;0.04;49.47
193;cuatro;164;0.04;49.51
194;casa;164;0.04;49.55
195;algunos;163;0.04;49.58
