
Total nb of words: 50747
1;ja;5628;3.16;3.16
2;on;4576;2.57;5.73
3;oli;1520;0.85;6.58
4;ta;1501;0.84;7.43
5;eesti;1408;0.79;8.22
6;et;1265;0.71;8.93
7;ka;1147;0.64;9.57
8;aastal;1127;0.63;10.21
9;ning;1007;0.57;10.77
10;mis;981;0.55;11.32
11;ei;925;0.52;11.84
12;kui;812;0.46;12.3
13;see;678;0.38;12.68
14;aasta;553;0.31;12.99
15;või;552;0.31;13.3
16;oma;541;0.3;13.6
17;tema;465;0.26;13.86
18;selle;460;0.26;14.12
19;viited;442;0.25;14.37
20;seda;420;0.24;14.61
21;välislingid;369;0.21;14.81
22;sai;369;0.21;15.02
23;kes;357;0.2;15.22
24;kuid;353;0.2;15.42
25;pärast;307;0.17;15.59
26;keeles;306;0.17;15.76
27;mida;306;0.17;15.94
28;aga;285;0.16;16.1
29;kuni;280;0.16;16.25
30;tartu;267;0.15;16.4
31;mille;267;0.15;16.55
32;m;265;0.15;16.7
33;välja;264;0.15;16.85
34;kus;263;0.15;17.0
35;the;256;0.14;17.14
36;tänav;255;0.14;17.29
37;nii;250;0.14;17.43
38;siis;250;0.14;17.57
39;aastatel;248;0.14;17.71
40;nende;233;0.13;17.84
41;tallinna;230;0.13;17.97
42;järgi;227;0.13;18.09
43;of;219;0.12;18.22
44;saksa;216;0.12;18.34
45;üle;215;0.12;18.46
46;august;213;0.12;18.58
47;olid;212;0.12;18.7
48;näiteks;209;0.12;18.81
49;nad;204;0.11;18.93
50;üks;203;0.11;19.04
51;ehk;199;0.11;19.15
52;saab;199;0.11;19.27
53;võib;197;0.11;19.38
54;lk;193;0.11;19.49
55;nagu;189;0.11;19.59
56;vaata;187;0.11;19.7
57;osa;186;0.1;19.8
58;koos;185;0.1;19.91
59;vene;183;0.1;20.01
60;aastast;182;0.1;20.11
61;sündinud;182;0.1;20.21
62;usa;181;0.1;20.31
63;vastu;180;0.1;20.42
64;ülikooli;177;0.1;20.51
65;ajal;172;0.1;20.61
66;von;171;0.1;20.71
67;küla;169;0.09;20.8
68;ole;169;0.09;20.9
69;tallinn;162;0.09;20.99
70;alates;160;0.09;21.08
71;hiljem;159;0.09;21.17
72;kohta;154;0.09;21.25
73;inglise;152;0.09;21.34
74;ainult;151;0.08;21.42
75;kõige;149;0.08;21.51
76;olla;145;0.08;21.59
77;asub;145;0.08;21.67
78;vahel;145;0.08;21.75
79;need;141;0.08;21.83
80;neid;140;0.08;21.91
81;vaid;137;0.08;21.99
82;sest;137;0.08;22.06
83;and;134;0.08;22.14
84;poolt;134;0.08;22.21
85;esimene;133;0.07;22.29
86;samuti;131;0.07;22.36
87;veel;131;0.07;22.44
88;olnud;130;0.07;22.51
89;poliitik;130;0.07;22.58
90;sellest;129;0.07;22.65
91;euroopa;128;0.07;22.73
92;eest;127;0.07;22.8
93;umbes;127;0.07;22.87
94;me;127;0.07;22.94
95;pole;126;0.07;23.01
96;venemaa;126;0.07;23.08
97;ii;122;0.07;23.15
98;rootsi;121;0.07;23.22
99;nime;120;0.07;23.29
100;kaks;118;0.07;23.35
101;soome;117;0.07;23.42
102;all;116;0.07;23.48
103;seal;116;0.07;23.55
104;liidu;116;0.07;23.61
105;i;115;0.06;23.68
106;keele;115;0.06;23.74
107;väga;111;0.06;23.8
108;a;110;0.06;23.87
109;kuigi;109;0.06;23.93
110;kõik;109;0.06;23.99
111;km;107;0.06;24.05
112;kas;107;0.06;24.11
113;teda;105;0.06;24.17
114;mitte;105;0.06;24.23
115;salix;105;0.06;24.29
116;nsv;105;0.06;24.35
117;vald;103;0.06;24.4
118;korda;102;0.06;24.46
119;juba;101;0.06;24.52
120;maakonnas;100;0.06;24.57
121;kasutatakse;100;0.06;24.63
122;enne;100;0.06;24.69
123;vallas;99;0.06;24.74
124;seejärel;98;0.06;24.8
125;kirjandus;98;0.06;24.85
126;palju;97;0.05;24.91
127;ekr;97;0.05;24.96
128;teine;96;0.05;25.01
129;teha;96;0.05;25.07
130;teise;95;0.05;25.12
131;töötas;95;0.05;25.17
132;saa;95;0.05;25.23
133;ajalugu;94;0.05;25.28
134;sajandi;94;0.05;25.33
135;tõttu;94;0.05;25.39
136;linn;94;0.05;25.44
137;finaal;94;0.05;25.49
138;saanud;93;0.05;25.54
139;läbi;92;0.05;25.6
140;oleks;92;0.05;25.65
141;kokku;91;0.05;25.7
142;inimese;90;0.05;25.75
143;lõpetas;90;0.05;25.8
144;tal;90;0.05;25.85
145;sajand;90;0.05;25.9
146;kirjanik;90;0.05;25.95
147;aastat;89;0.05;26.0
148;tagasi;89;0.05;26.05
149;valla;89;0.05;26.1
150;itaalia;88;0.05;26.15
151;alla;88;0.05;26.2
152;koduleht;88;0.05;26.25
153;prantsuse;88;0.05;26.3
154;maailmameister;87;0.05;26.35
155;linna;86;0.05;26.4
156;põõsas;86;0.05;26.44
157;meie;85;0.05;26.49
158;riigi;85;0.05;26.54
159;jäi;84;0.05;26.59
160;ühe;84;0.05;26.63
161;teiste;83;0.05;26.68
