
Total nb of words: 31501
1;در;25738;5.06;5.06
2;و;25628;5.04;10.1
3;به;17412;3.42;13.53
4;از;15726;3.09;16.62
5;که;10360;2.04;18.66
6;این;7983;1.57;20.23
7;را;7942;1.56;21.79
8;با;5944;1.17;22.96
9;است;5006;0.98;23.94
10;سال;3617;0.71;24.65
11;آن;3302;0.65;25.3
12;برای;3059;0.6;25.9
13;ایران;3044;0.6;26.5
14;یک;3033;0.6;27.1
15;شد;2962;0.58;27.68
16;بود;2605;0.51;28.19
17;او;2332;0.46;28.65
18;کرد;2194;0.43;29.08
19;تا;2125;0.42;29.5
20;خود;2053;0.4;29.91
21;بر;2030;0.4;30.31
22;شهر;1881;0.37;30.68
23;نیز;1774;0.35;31.02
24;یا;1418;0.28;31.3
25;شده;1372;0.27;31.57
26;پس;1353;0.27;31.84
27;دارد;1350;0.27;32.1
28;نام;1304;0.26;32.36
29;دو;1182;0.23;32.59
30;قرار;1178;0.23;32.83
31;عنوان;1140;0.22;33.05
32;آمریکا;1060;0.21;33.26
33;منابع;1047;0.21;33.46
34;دیگر;1039;0.2;33.67
35;ملی;1000;0.2;33.86
36;کشور;984;0.19;34.06
37;یکی;964;0.19;34.25
38;فیلم;928;0.18;34.43
39;وی;911;0.18;34.61
40;توسط;849;0.17;34.78
41;تهران;849;0.17;34.94
42;هم;840;0.17;35.11
43;همچنین;792;0.16;35.26
44;وجود;776;0.15;35.42
45;اما;753;0.15;35.57
46;هر;741;0.15;35.71
47;شاه;738;0.15;35.86
48;تاریخ;711;0.14;36.0
49;تیم;701;0.14;36.13
50;بعد;690;0.14;36.27
51;مردم;672;0.13;36.4
52;زمان;669;0.13;36.53
53;مورد;668;0.13;36.66
54;شرکت;656;0.13;36.79
55;صورت;655;0.13;36.92
56;دارای;651;0.13;37.05
57;استفاده;645;0.13;37.18
58;جنگ;637;0.13;37.3
59;انگلیسی;628;0.12;37.43
60;دست;609;0.12;37.55
61;واقع;594;0.12;37.66
62;داد;592;0.12;37.78
63;نفر;582;0.11;37.89
64;کار;582;0.11;38.01
65;هستند;578;0.11;38.12
66;داشت;577;0.11;38.24
67;دوره;534;0.11;38.34
68;روی;533;0.1;38.45
69;بازی;531;0.1;38.55
70;روز;528;0.1;38.65
71;پیش;525;0.1;38.76
72;نظر;523;0.1;38.86
73;دولت;522;0.1;38.96
74;نقش;519;0.1;39.06
75;مجلس;513;0.1;39.17
76;منطقه;512;0.1;39.27
