
Total nb of words: 48704
1;de;37331;6.91;6.91
2;la;19985;3.7;10.62
3;le;14701;2.72;13.34
4;et;14216;2.63;15.97
5;en;11523;2.13;18.11
6;à;11263;2.09;20.19
7;des;9398;1.74;21.93
8;les;8763;1.62;23.55
9;du;8718;1.61;25.17
10;est;6243;1.16;26.33
11;un;4846;0.9;27.22
12;dans;4605;0.85;28.08
13;par;4488;0.83;28.91
14;une;4395;0.81;29.72
15;il;4107;0.76;30.48
16;au;3999;0.74;31.22
17;pour;3602;0.67;31.89
18;sur;3113;0.58;32.47
19;qui;2980;0.55;33.02
20;a;2788;0.52;33.53
21;que;2443;0.45;33.99
22;l;2364;0.44;34.42
23;avec;2347;0.43;34.86
24;son;2316;0.43;35.29
25;portail;2083;0.39;35.67
26;plus;2023;0.37;36.05
27;se;1813;0.34;36.38
28;sont;1774;0.33;36.71
29;ou;1752;0.32;37.04
30;d;1512;0.28;37.32
31;ce;1406;0.26;37.58
32;sa;1386;0.26;37.83
33;aux;1261;0.23;38.07
34;été;1201;0.22;38.29
35;comme;1179;0.22;38.51
36;elle;1176;0.22;38.73
37;ses;1145;0.21;38.94
38;cette;1085;0.2;39.14
39;deux;1077;0.2;39.34
40;pas;1037;0.19;39.53
41;mais;978;0.18;39.71
42;ne;898;0.17;39.88
43;france;875;0.16;40.04
44;entre;833;0.15;40.2
45;paris;821;0.15;40.35
46;fait;790;0.15;40.49
47;aussi;781;0.14;40.64
48;références;758;0.14;40.78
49;après;754;0.14;40.92
50;ont;712;0.13;41.05
51;ville;684;0.13;41.18
52;siècle;678;0.13;41.3
53;ainsi;669;0.12;41.43
54;depuis;626;0.12;41.54
55;the;624;0.12;41.66
56;sous;621;0.12;41.77
57;ans;617;0.11;41.89
58;français;609;0.11;42.0
59;leur;606;0.11;42.11
60;dont;598;0.11;42.22
61;lui;591;0.11;42.33
62;premier;580;0.11;42.44
63;notes;573;0.11;42.55
64;on;571;0.11;42.65
65;même;561;0.1;42.76
