
Total nb of words: 86149
1;של;14615;2.67;2.67
2;את;8374;1.53;4.2
3;על;7650;1.4;5.6
4;הוא;3379;0.62;6.22
5;עם;2947;0.54;6.75
6;בשנת;1956;0.36;7.11
7;גם;1928;0.35;7.46
8;היה;1807;0.33;7.79
9;לא;1805;0.33;8.12
10;לאחר;1720;0.31;8.44
11;היא;1719;0.31;8.75
12;באתר;1684;0.31;9.06
13;ידי;1638;0.3;9.36
14;בין;1485;0.27;9.63
15;או;1354;0.25;9.88
16;זה;1342;0.25;10.12
17;כי;1127;0.21;10.33
18;אך;1038;0.19;10.52
19;יותר;996;0.18;10.7
20;עד;984;0.18;10.88
21;הייתה;951;0.17;11.05
22;כל;943;0.17;11.23
23;ישראל;930;0.17;11.4
24;אשר;918;0.17;11.56
25;הראשון;826;0.15;11.72
26;חיצוניים;809;0.15;11.86
27;זו;802;0.15;12.01
28;קישורים;801;0.15;12.16
29;הם;790;0.14;12.3
30;בית;783;0.14;12.44
31;היו;769;0.14;12.58
32;כמו;745;0.14;12.72
33;ביותר;731;0.13;12.85
34;באנגלית;697;0.13;12.98
35;הברית;690;0.13;13.11
36;שם;671;0.12;13.23
37;בו;671;0.12;13.35
38;העיר;666;0.12;13.47
39;כך;665;0.12;13.6
40;מספר;661;0.12;13.72
41;אחד;647;0.12;13.83
42;כאשר;645;0.12;13.95
43;ל;632;0.12;14.07
44;זאת;604;0.11;14.18
45;שלו;602;0.11;14.29
46;כדי;601;0.11;14.4
47;הרב;585;0.11;14.51
48;במהלך;583;0.11;14.61
49;שנה;568;0.1;14.72
50;אל;557;0.1;14.82
51;מטוסי;547;0.1;14.92
52;אף;545;0.1;15.02
53;שני;539;0.1;15.12
54;the;532;0.1;15.21
55;העולם;523;0.1;15.31
56;אותו;522;0.1;15.4
57;רבים;518;0.09;15.5
58;לו;492;0.09;15.59
59;הראשונה;491;0.09;15.68
60;אביב;488;0.09;15.77
61;הערות;487;0.09;15.86
62;שנים;487;0.09;15.95
63;יש;486;0.09;16.03
64;חלק;484;0.09;16.12
65;רק;483;0.09;16.21
66;באופן;477;0.09;16.3
67;שוליים;471;0.09;16.38
68;ב;468;0.09;16.47
69;בה;463;0.08;16.55
70;נולד;462;0.08;16.64
71;במקום;455;0.08;16.72
72;השנייה;454;0.08;16.8
73;כן;453;0.08;16.89
74;בן;451;0.08;16.97
75;השני;449;0.08;17.05
76;השיר;448;0.08;17.13
77;ר;445;0.08;17.21
78;בשם;442;0.08;17.3
79;פי;441;0.08;17.38
80;המאה;432;0.08;17.46
81;החל;432;0.08;17.53
82;אחת;422;0.08;17.61
83;תל;416;0.08;17.69
84;ארצות;409;0.07;17.76
85;לפני;407;0.07;17.84
86;א;404;0.07;17.91
87;בישראל;398;0.07;17.98
88;מ;396;0.07;18.06
89;חיים;392;0.07;18.13
90;רבי;391;0.07;18.2
91;אותה;386;0.07;18.27
92;אם;380;0.07;18.34
93;מכן;378;0.07;18.41
94;כלל;370;0.07;18.47
95;באמצעות;362;0.07;18.54
96;נגד;357;0.07;18.61
97;וכן;356;0.07;18.67
98;בעיקר;353;0.06;18.74
99;בעיר;353;0.06;18.8
100;אלה;349;0.06;18.86
101;שלה;349;0.06;18.93
102;מלחמת;345;0.06;18.99
103;שונים;343;0.06;19.05
104;עבור;339;0.06;19.12
105;ה;337;0.06;19.18
106;בעקבות;334;0.06;19.24
107;מטר;334;0.06;19.3
108;אולם;333;0.06;19.36
109;ניתן;332;0.06;19.42
110;אלו;329;0.06;19.48
111;שלא;328;0.06;19.54
112;הן;327;0.06;19.6
113;במאי;322;0.06;19.66
114;ערך;318;0.06;19.72
115;הספר;317;0.06;19.78
116;אחרים;317;0.06;19.83
117;הארץ;316;0.06;19.89
118;מן;313;0.06;19.95
119;באותה;312;0.06;20.01
120;דבר;311;0.06;20.06
121;המלחמה;311;0.06;20.12
122;בבית;309;0.06;20.18
123;ו;309;0.06;20.23
124;הקבוצה;309;0.06;20.29
125;בכל;308;0.06;20.34
126;בינואר;307;0.06;20.4
127;לפי;306;0.06;20.46
128;בהם;305;0.06;20.51
129;רבות;304;0.06;20.57
130;בנוסף;303;0.06;20.62
131;בני;302;0.06;20.68
132;בשל;302;0.06;20.73
133;שהיה;301;0.06;20.79
134;ספר;300;0.05;20.84
135;ראש;299;0.05;20.9
136;להיות;299;0.05;20.95
137;בספטמבר;297;0.05;21.01
138;שהוא;297;0.05;21.06
139;ולא;297;0.05;21.12
140;השנים;296;0.05;21.17
141;כיום;296;0.05;21.22
142;ירושלים;289;0.05;21.28
143;אחרי;287;0.05;21.33
144;שנות;286;0.05;21.38
145;החברה;286;0.05;21.43
146;of;286;0.05;21.49
147;והוא;285;0.05;21.54
148;מנת;285;0.05;21.59
149;אחר;282;0.05;21.64
150;זכה;278;0.05;21.69
151;לראשונה;276;0.05;21.74
152;מאוד;276;0.05;21.79
153;אדם;274;0.05;21.84
154;מה;274;0.05;21.89
155;זמן;273;0.05;21.94
156;בקרב;269;0.05;21.99
157;הסרט;269;0.05;22.04
158;במשך;268;0.05;22.09
159;בנובמבר;268;0.05;22.14
160;לה;268;0.05;22.19
161;עוד;267;0.05;22.24
162;ללא;265;0.05;22.29
163;בעל;263;0.05;22.33
164;בפברואר;262;0.05;22.38
165;האוויר;262;0.05;22.43
166;חברת;262;0.05;22.48
167;שתי;260;0.05;22.52
168;בדרך;259;0.05;22.57
169;הלהקה;255;0.05;22.62
170;ד;254;0.05;22.66
171;תחת;254;0.05;22.71
172;כוח;254;0.05;22.76
173;בשנים;253;0.05;22.8
174;עצמו;253;0.05;22.85
175;נוספת;252;0.05;22.9
176;דרך;252;0.05;22.94
177;מתוך;251;0.05;22.99
178;המדינה;251;0.05;23.03
179;כתב;250;0.05;23.08
180;בעולם;250;0.05;23.13
181;באוגוסט;250;0.05;23.17
182;רב;250;0.05;23.22
183;חיל;249;0.05;23.26
184;באוקטובר;249;0.05;23.31
185;בידי;248;0.05;23.35
186;ח;247;0.05;23.4
187;כ;246;0.04;23.44
188;בעלי;243;0.04;23.49
189;מאז;242;0.04;23.53
190;אתר;242;0.04;23.58
191;תוך;241;0.04;23.62
192;כגון;239;0.04;23.66
193;במסגרת;237;0.04;23.71
194;יחד;237;0.04;23.75
195;בדצמבר;236;0.04;23.79
196;אותם;236;0.04;23.84
197;מאת;235;0.04;23.88
198;בתוך;234;0.04;23.92
199;שונות;234;0.04;23.97
200;מידע;234;0.04;24.01
201;נוספים;233;0.04;24.05
202;זכתה;231;0.04;24.09
203;שנת;229;0.04;24.13
204;ביולי;229;0.04;24.18
205;נוסף;228;0.04;24.22
206;ראו;227;0.04;24.26
207;ביוני;227;0.04;24.3
208;במרץ;224;0.04;24.34
209;היום;223;0.04;24.38
210;כולל;223;0.04;24.42
211;דקות;223;0.04;24.46
212;יום;222;0.04;24.5
213;יהודה;222;0.04;24.55
214;מול;221;0.04;24.59
215;אינו;219;0.04;24.63
216;ג;219;0.04;24.67
217;משנת;219;0.04;24.71
218;בלבד;217;0.04;24.75
219;יצחק;216;0.04;24.78
220;באזור;216;0.04;24.82
221;ואף;216;0.04;24.86
222;לאור;216;0.04;24.9
223;כמה;215;0.04;24.94
224;לאורך;213;0.04;24.98
225;לכך;213;0.04;25.02
226;האלבום;213;0.04;25.06
227;יורק;212;0.04;25.1
228;קבוצת;212;0.04;25.14
229;אלא;210;0.04;25.18
230;לכל;210;0.04;25.21
231;ואת;209;0.04;25.25
232;יהודים;209;0.04;25.29
233;רוב;209;0.04;25.33
234;שלהם;209;0.04;25.37
235;כבר;207;0.04;25.4
236;עכו;207;0.04;25.44
237;ם;207;0.04;25.48
238;לעיתים;206;0.04;25.52
239;שבו;206;0.04;25.55
240;כלי;206;0.04;25.59
241;השלישי;205;0.04;25.63
242;ועל;205;0.04;25.67
243;נשים;205;0.04;25.71
244;הכנסת;203;0.04;25.74
245;האדם;201;0.04;25.78
246;חדש;200;0.04;25.82
247;באפריל;200;0.04;25.85
248;הוצאת;200;0.04;25.89
249;בעת;199;0.04;25.92
250;דוד;199;0.04;25.96
251;אין;199;0.04;26.0
252;העונה;198;0.04;26.03
253;למרות;198;0.04;26.07
254;מערכת;197;0.04;26.11
255;אז;196;0.04;26.14
256;השם;196;0.04;26.18
257;ועד;195;0.04;26.21
258;יכול;195;0.04;26.25
259;עבר;194;0.04;26.28
260;כוחות;193;0.04;26.32
261;החלה;192;0.04;26.35
262;שימוש;192;0.04;26.39
263;משה;190;0.03;26.42
264;הגדול;190;0.03;26.46
265;להם;188;0.03;26.49
266;הקרב;188;0.03;26.53
267;גרמניה;187;0.03;26.56
268;בזמן;186;0.03;26.6
269;בתפקיד;186;0.03;26.63
270;מקור;184;0.03;26.66
271;בארצות;181;0.03;26.7
272;בשנות;181;0.03;26.73
273;ולכן;181;0.03;26.76
274;המשפט;179;0.03;26.8
275;מיליון;179;0.03;26.83
276;ביוגרפיה;178;0.03;26.86
277;בתחילת;178;0.03;26.89
278;החיים;178;0.03;26.93
279;הגיע;178;0.03;26.96
280;י;177;0.03;26.99
281;באליפות;177;0.03;27.02
282;ילדים;176;0.03;27.06
283;בר;176;0.03;27.09
284;בירושלים;175;0.03;27.12
285;ס;175;0.03;27.15
286;שבה;175;0.03;27.18
287;מעל;175;0.03;27.22
288;גדול;174;0.03;27.25
289;בארץ;174;0.03;27.28
290;ועוד;174;0.03;27.31
291;למשל;174;0.03;27.34
292;בעוד;173;0.03;27.37
293;הגמר;171;0.03;27.41
294;שמו;171;0.03;27.44
295;בסוף;171;0.03;27.47
296;בתקופה;171;0.03;27.5
297;בנו;171;0.03;27.53
298;קיבל;170;0.03;27.56
299;ש;168;0.03;27.59
300;ימים;168;0.03;27.62
301;שלושה;168;0.03;27.65
302;בתחום;167;0.03;27.68
303;התוכנית;167;0.03;27.71
304;נבחרת;167;0.03;27.74
305;קצר;166;0.03;27.78
306;מרכז;166;0.03;27.81
307;עליו;164;0.03;27.84
308;דיסני;164;0.03;27.87
309;הבית;163;0.03;27.9
310;כתוצאה;163;0.03;27.93
311;פרופיל;161;0.03;27.95
312;בת;161;0.03;27.98
313;לבין;161;0.03;28.01
314;ארץ;161;0.03;28.04
315;מערכות;161;0.03;28.07
316;הסדרה;161;0.03;28.1
317;השנה;161;0.03;28.13
318;סייקלופס;161;0.03;28.16
319;שימש;159;0.03;28.19
320;אירופה;159;0.03;28.22
321;יהודי;158;0.03;28.25
322;שהם;158;0.03;28.28
323;פעולה;158;0.03;28.31
324;a;158;0.03;28.33
325;יוסף;157;0.03;28.36
326;במאה;157;0.03;28.39
327;נמצא;157;0.03;28.42
328;צרפת;157;0.03;28.45
329;היהודים;155;0.03;28.48
330;הצבא;155;0.03;28.51
331;באוניברסיטת;154;0.03;28.53
