
Total nb of words: 6414
1;और;4648;11.23;11.23
2;एक;3018;7.29;18.53
3;पर;2390;5.78;24.31
4;यह;1478;3.57;27.88
5;इस;1249;3.02;30.9
6;कर;941;2.27;33.17
7;wikt;887;2.14;35.32
8;of;579;1.4;36.72
9;तक;548;1.32;38.04
10;and;518;1.25;39.29
11;the;478;1.16;40.45
12;समय;441;1.07;41.51
13;वह;403;0.97;42.49
14;medical;386;0.93;43.42
15;कई;355;0.86;44.28
16;college;292;0.71;44.98
17;जब;270;0.65;45.64
18;कम;255;0.62;46.25
19;उस;248;0.6;46.85
20;इन;247;0.6;47.45
21;तरह;218;0.53;47.98
22;x;218;0.53;48.5
23;गई;212;0.51;49.02
24;द;208;0.5;49.52
25;गए;202;0.49;50.01
26;in;193;0.47;50.47
27;व;187;0.45;50.93
28;न;182;0.44;51.37
29;लगभग;169;0.41;51.77
30;d;164;0.4;52.17
31;नगर;162;0.39;52.56
32;ओर;149;0.36;52.92
33;अब;136;0.33;53.25
34;ई;128;0.31;53.56
35;अलग;127;0.31;53.87
36;दशक;127;0.31;54.17
37;a;125;0.3;54.48
38;उन;124;0.3;54.78
39;to;123;0.3;55.07
40;शहर;122;0.29;55.37
41;तब;121;0.29;55.66
42;बन;112;0.27;55.93
43;आम;106;0.26;56.19
44;institute;101;0.24;56.43
45;republic;97;0.23;56.67
46;शक;95;0.23;56.9
47;दल;93;0.22;57.12
48;sciences;90;0.22;57.34
49;आज;82;0.2;57.54
50;आप;75;0.18;57.72
51;ऊपर;75;0.18;57.9
52;वजह;75;0.18;58.08
53;g;75;0.18;58.26
54;ऑफ;74;0.18;58.44
55;हर;74;0.18;58.62
56;china;72;0.17;58.79
57;admission;70;0.17;58.96
58;mbbs;69;0.17;59.13
59;हम;68;0.16;59.29
60;by;67;0.16;59.46
61;नए;66;0.16;59.62
62;for;64;0.15;59.77
63;एकल;64;0.15;59.92
64;आ;63;0.15;60.08
65;government;63;0.15;60.23
66;on;62;0.15;60.38
67;सब;61;0.15;60.53
68;ए;61;0.15;60.67
69;जगह;60;0.15;60.82
70;http;60;0.15;60.96
71;जल;58;0.14;61.1
72;hospital;58;0.14;61.24
73;आई;55;0.13;61.38
74;as;54;0.13;61.51
75;भर;52;0.13;61.63
76;घर;52;0.13;61.76
77;f;51;0.12;61.88
78;research;50;0.12;62.0
79;बल;50;0.12;62.12
80;is;50;0.12;62.24
81;पद;47;0.11;62.36
82;मदद;47;0.11;62.47
83;नई;47;0.11;62.59
84;कप;47;0.11;62.7
85;मत;45;0.11;62.81
86;मई;45;0.11;62.92
87;सन;44;0.11;63.02
88;m;44;0.11;63.13
89;india;44;0.11;63.24
90;रह;43;0.1;63.34
91;सफल;43;0.1;63.44
92;गठन;43;0.1;63.55
93;महल;43;0.1;63.65
94;c;42;0.1;63.75
95;dx;42;0.1;63.85
96;she;40;0.1;63.95
97;i;39;0.09;64.05
98;s;39;0.09;64.14
99;n;39;0.09;64.23
100;de;38;0.09;64.33
101;at;37;0.09;64.42
102;बस;37;0.09;64.5
103;v;37;0.09;64.59
104;तहत;36;0.09;64.68
105;with;36;0.09;64.77
106;रस;36;0.09;64.86
107;दस;36;0.09;64.94
108;united;36;0.09;65.03
109;university;35;0.08;65.11
110;दर;35;0.08;65.2
111;football;35;0.08;65.28
112;her;35;0.08;65.37
113;nic;34;0.08;65.45
114;अरब;34;0.08;65.53
115;चल;34;0.08;65.61
116;from;34;0.08;65.7
117;मन;34;0.08;65.78
118;डच;34;0.08;65.86
119;people;34;0.08;65.94
120;was;34;0.08;66.03
121;अगर;33;0.08;66.11
122;बदल;33;0.08;66.18
123;that;33;0.08;66.26
124;एसआईए;33;0.08;66.34
125;चरण;32;0.08;66.42
126;e;31;0.07;66.5
127;island;30;0.07;66.57
128;calendar;29;0.07;66.64
129;converter;29;0.07;66.71
130;hayward;29;0.07;66.78
131;सरल;28;0.07;66.85
132;आए;28;0.07;66.91
133;औसत;26;0.06;66.98
134;or;26;0.06;67.04
135;islands;26;0.06;67.1
136;असफल;25;0.06;67.16
137;आठ;25;0.06;67.22
138;पदक;25;0.06;67.28
139;are;25;0.06;67.35
140;उपकरण;24;0.06;67.4
141;तरफ;24;0.06;67.46
142;भरत;24;0.06;67.52
143;धन;23;0.06;67.57
144;अत;23;0.06;67.63
145;also;23;0.06;67.69
146;new;23;0.06;67.74
147;north;23;0.06;67.8
148;association;23;0.06;67.85
149;वन;23;0.06;67.91
150;area;23;0.06;67.96
151;part;22;0.05;68.02
152;an;22;0.05;68.07
153;world;22;0.05;68.12
154;ऐ;22;0.05;68.18
155;spain;22;0.05;68.23
156;एयरबस;22;0.05;68.28
157;चलकर;21;0.05;68.33
158;आग;21;0.05;68.38
159;list;21;0.05;68.44
160;सर;21;0.05;68.49
161;एयर;21;0.05;68.54
162;be;21;0.05;68.59
163;states;21;0.05;68.64
164;आउट;21;0.05;68.69
165;अवसर;20;0.05;68.74
166;छह;20;0.05;68.79
167;state;20;0.05;68.83
168;एस;20;0.05;68.88
169;तट;20;0.05;68.93
170;गरम;20;0.05;68.98
171;अल;20;0.05;69.03
172;eggs;19;0.05;69.07
173;r;19;0.05;69.12
174;website;19;0.05;69.17
