
Total nb of words: 38731
1;og;7448;3.97;3.97
2;í;6740;3.6;7.57
3;á;4387;2.34;9.91
4;að;4159;2.22;12.13
5;er;3757;2.0;14.13
6;sem;3521;1.88;16.01
7;var;2521;1.35;17.36
8;til;2097;1.12;18.48
9;en;1531;0.82;19.29
10;um;1523;0.81;20.11
11;af;1464;0.78;20.89
12;við;1418;0.76;21.64
13;með;1367;0.73;22.37
14;hann;1339;0.71;23.09
15;eru;1251;0.67;23.75
16;fyrir;1117;0.6;24.35
17;frá;1031;0.55;24.9
18;það;999;0.53;25.43
19;árið;921;0.49;25.92
20;þar;919;0.49;26.42
21;eða;760;0.41;26.82
22;því;731;0.39;27.21
23;eftir;721;0.38;27.6
24;rhododendron;673;0.36;27.95
25;voru;639;0.34;28.3
26;ekki;626;0.33;28.63
27;úr;497;0.27;28.89
28;út;486;0.26;29.15
29;þá;482;0.26;29.41
30;verið;476;0.25;29.66
31;hefur;466;0.25;29.91
32;hafa;431;0.23;30.14
33;þegar;423;0.23;30.37
34;þess;412;0.22;30.59
35;upp;398;0.21;30.8
36;hún;395;0.21;31.01
37;the;389;0.21;31.22
38;einnig;383;0.2;31.42
39;hans;377;0.2;31.62
40;fram;356;0.19;31.81
41;varð;336;0.18;31.99
42;íslands;336;0.18;32.17
43;þeir;324;0.17;32.35
44;svo;320;0.17;32.52
45;sér;316;0.17;32.69
46;fyrsta;298;0.16;32.84
47;yfir;281;0.15;32.99
48;nóvember;281;0.15;33.14
49;íslandi;267;0.14;33.29
50;of;266;0.14;33.43
51;þeim;253;0.13;33.56
52;þeirra;251;0.13;33.7
53;eins;244;0.13;33.83
54;hafði;238;0.13;33.95
55;heimildir;236;0.13;34.08
56;þau;235;0.13;34.21
57;þó;232;0.12;34.33
58;þann;220;0.12;34.45
59;undir;219;0.12;34.56
60;tenglar;216;0.12;34.68
61;meðal;204;0.11;34.79
62;hafi;196;0.1;34.89
63;sig;194;0.1;35.0
64;milli;190;0.1;35.1
65;síðan;190;0.1;35.2
66;kom;186;0.1;35.3
67;áður;184;0.1;35.4
68;seinna;184;0.1;35.49
69;vegna;183;0.1;35.59
70;þetta;181;0.1;35.69
71;öld;174;0.09;35.78
72;jón;167;0.09;35.87
73;síðar;163;0.09;35.96
74;fjölda;163;0.09;36.04
75;tók;162;0.09;36.13
76;oft;161;0.09;36.22
77;tíma;160;0.09;36.3
78;reykjavík;157;0.08;36.39
79;ára;153;0.08;36.47
80;hjá;151;0.08;36.55
