
Total nb of words: 43005
1;нь;5752;2.26;2.26
2;онд;1946;0.77;3.03
3;оны;1928;0.76;3.79
4;юм;1699;0.67;4.46
5;болон;1351;0.53;4.99
6;байсан;1311;0.52;5.51
7;байна;1258;0.5;6.0
8;энэ;1195;0.47;6.47
9;сарын;1192;0.47;6.94
10;улсын;1103;0.43;7.37
11;бөгөөд;1081;0.43;7.8
12;гэж;931;0.37;8.17
13;ба;909;0.36;8.52
14;их;893;0.35;8.88
15;монгол;824;0.32;9.2
16;олон;813;0.32;9.52
17;улс;780;0.31;9.83
18;загвар;754;0.3;10.12
19;байдаг;749;0.29;10.42
20;ч;721;0.28;10.7
21;нэг;715;0.28;10.98
22;мөн;640;0.25;11.24
23;l;608;0.24;11.48
24;болсон;604;0.24;11.71
25;үед;584;0.23;11.94
26;бол;516;0.2;12.15
27;байв;515;0.2;12.35
28;хүн;500;0.2;12.55
29;дээр;479;0.19;12.73
30;хамгийн;470;0.19;12.92
31;газар;469;0.18;13.1
32;зэрэг;466;0.18;13.29
33;хоёр;458;0.18;13.47
34;дахь;446;0.18;13.64
35;түүний;444;0.17;13.82
36;буюу;443;0.17;13.99
37;гэсэн;442;0.17;14.17
38;болох;441;0.17;14.34
39;дараа;441;0.17;14.51
40;аймгийн;416;0.16;14.68
41;тус;400;0.16;14.83
42;болж;399;0.16;14.99
43;үйл;392;0.15;15.15
44;хаан;389;0.15;15.3
45;монголын;386;0.15;15.45
46;тэр;384;0.15;15.6
47;байгаа;384;0.15;15.75
48;холбоос;373;0.15;15.9
49;гэдэг;372;0.15;16.05
50;дэлхийн;366;0.14;16.19
51;төрийн;364;0.14;16.33
52;төрсөн;358;0.14;16.47
53;of;355;0.14;16.61
54;шинэ;352;0.14;16.75
55;анхны;350;0.14;16.89
56;the;343;0.14;17.03
57;гол;325;0.13;17.15
58;засгийн;321;0.13;17.28
59;болно;315;0.12;17.4
60;бий;314;0.12;17.53
61;цэргийн;314;0.12;17.65
62;бусад;308;0.12;17.77
63;нас;305;0.12;17.89
64;гэх;303;0.12;18.01
65;орон;299;0.12;18.13
66;албан;296;0.12;18.25
67;хамт;296;0.12;18.36
68;байжээ;290;0.11;18.48
69;төв;287;0.11;18.59
70;өөрийн;286;0.11;18.7
71;байх;285;0.11;18.81
72;жилийн;281;0.11;18.92
73;байлаа;278;0.11;19.03
74;сард;278;0.11;19.14
75;нар;275;0.11;19.25
76;нутаг;275;0.11;19.36
77;нэгэн;271;0.11;19.47
78;тэрээр;270;0.11;19.57
79;хүртэл;260;0.1;19.68
80;бүх;260;0.1;19.78
81;анх;259;0.1;19.88
82;зүүн;256;0.1;19.98
83;хэмээн;255;0.1;20.08
84;газрын;254;0.1;20.18
85;өндөр;252;0.1;20.28
86;хэсэг;251;0.1;20.38
87;нэр;249;0.1;20.48
88;эх;248;0.1;20.57
89;үндсэн;246;0.1;20.67
90;эсрэг;241;0.09;20.77
91;зохион;241;0.09;20.86
92;буй;240;0.09;20.96
93;тухайн;240;0.09;21.05
94;гадаад;239;0.09;21.14
95;л;236;0.09;21.24
96;харин;236;0.09;21.33
97;том;235;0.09;21.42
98;тэд;234;0.09;21.51
99;тухай;232;0.09;21.61
100;сумын;232;0.09;21.7
101;дээд;231;0.09;21.79
102;бага;230;0.09;21.88
103;удаа;229;0.09;21.97
104;баруун;229;0.09;22.06
105;to;229;0.09;22.15
106;авч;228;0.09;22.24
107;жил;227;0.09;22.33
108;ерөнхий;227;0.09;22.42
109;болжээ;224;0.09;22.51
110;хотод;224;0.09;22.59
111;оросын;224;0.09;22.68
112;өмнөд;223;0.09;22.77
113;нутгийн;223;0.09;22.86
114;хот;218;0.09;22.94
115;оноос;218;0.09;23.03
116;хааны;216;0.09;23.11
117;бүхий;215;0.08;23.2
118;өмнө;214;0.08;23.28
119;өөр;213;0.08;23.37
120;эрх;212;0.08;23.45
