
Total nb of words: 60572
1;w;15862;5.2;5.2
2;i;6736;2.21;7.4
3;na;5235;1.71;9.12
4;z;5024;1.65;10.76
5;do;3617;1.18;11.95
6;się;3445;1.13;13.08
7;roku;2028;0.66;13.74
8;od;1499;0.49;14.23
9;a;1494;0.49;14.72
10;jest;1491;0.49;15.21
11;przez;1441;0.47;15.68
12;po;1218;0.4;16.08
13;nie;1123;0.37;16.45
14;oraz;1112;0.36;16.81
15;o;1088;0.36;17.17
16;jako;899;0.29;17.46
17;to;809;0.27;17.73
18;został;722;0.24;17.97
19;że;721;0.24;18.2
20;jego;715;0.23;18.44
21;był;680;0.22;18.66
22;za;673;0.22;18.88
23;dla;664;0.22;19.1
24;pułk;632;0.21;19.3
25;tym;580;0.19;19.49
26;przypisy;572;0.19;19.68
27;latach;552;0.18;19.86
28;są;551;0.18;20.04
29;pod;546;0.18;20.22
30;ze;500;0.16;20.39
31;także;487;0.16;20.55
32;piechoty;470;0.15;20.7
33;polski;465;0.15;20.85
34;który;436;0.14;20.99
35;jej;433;0.14;21.14
36;jak;418;0.14;21.27
37;jednak;416;0.14;21.41
38;lub;415;0.14;21.55
39;też;401;0.13;21.68
40;osób;395;0.13;21.81
41;lat;394;0.13;21.94
42;również;384;0.13;22.06
43;the;371;0.12;22.18
44;tej;356;0.12;22.3
45;przy;351;0.11;22.41
46;bibliografia;342;0.11;22.53
47;ii;342;0.11;22.64
48;ich;342;0.11;22.75
49;tego;341;0.11;22.86
50;co;332;0.11;22.97
51;które;331;0.11;23.08
52;była;320;0.1;23.18
53;polsce;319;0.1;23.29
54;nsz;316;0.1;23.39
55;we;311;0.1;23.49
56;została;310;0.1;23.6
57;e;304;0.1;23.7
58;zewnętrzne;299;0.1;23.79
59;linki;293;0.1;23.89
60;hugo;286;0.09;23.98
61;ur;285;0.09;24.08
62;według;285;0.09;24.17
63;maja;283;0.09;24.26
64;podczas;283;0.09;24.36
65;gdzie;282;0.09;24.45
66;ang;278;0.09;24.54
67;miejsce;277;0.09;24.63
68;listopada;271;0.09;24.72
69;było;266;0.09;24.81
70;of;263;0.09;24.89
71;warszawa;261;0.09;24.98
72;września;260;0.09;25.06
73;wieku;254;0.08;25.15
74;pierwszy;248;0.08;25.23
75;kościoła;246;0.08;25.31
76;trasa;245;0.08;25.39
77;x;244;0.08;25.47
78;śmierci;243;0.08;25.55
79;ten;240;0.08;25.63
80;nad;238;0.08;25.7
81;czerwca;235;0.08;25.78
82;de;235;0.08;25.86
83;później;230;0.08;25.93
84;października;226;0.07;26.01
85;przed;221;0.07;26.08
86;lipca;220;0.07;26.15
87;kwietnia;219;0.07;26.22
88;strzelców;216;0.07;26.29
89;jehowy;215;0.07;26.36
90;sierpnia;213;0.07;26.43
91;n;211;0.07;26.5
92;kraju;210;0.07;26.57
93;im;209;0.07;26.64
94;czasie;209;0.07;26.71
95;ma;209;0.07;26.78
96;m;209;0.07;26.85
97;która;208;0.07;26.91
98;go;207;0.07;26.98
99;tylko;207;0.07;27.05
100;być;207;0.07;27.12
101;marca;206;0.07;27.18
102;następnie;204;0.07;27.25
103;bazie;203;0.07;27.32
104;już;197;0.06;27.38
105;były;196;0.06;27.45
106;stycznia;195;0.06;27.51
107;miasta;195;0.06;27.57
108;kościół;192;0.06;27.64
109;świata;186;0.06;27.7
110;ale;186;0.06;27.76
111;grudnia;185;0.06;27.82
112;których;185;0.06;27.88
113;św;182;0.06;27.94
114;np;180;0.06;28.0
115;polskiego;180;0.06;28.06
116;którym;178;0.06;28.12
117;dwa;176;0.06;28.17
118;której;176;0.06;28.23
119;dwóch;174;0.06;28.29
