
Total nb of words: 78933
1;в;18216;4.77;4.77
2;и;11124;2.92;7.69
3;на;6136;1.61;9.3
4;с;4778;1.25;10.55
5;года;3084;0.81;11.36
6;по;2754;0.72;12.08
7;году;2088;0.55;12.63
8;из;1929;0.51;13.13
9;не;1635;0.43;13.56
10;к;1581;0.41;13.97
11;был;1425;0.37;14.35
12;от;1379;0.36;14.71
13;что;1348;0.35;15.06
14;для;1314;0.34;15.41
15;за;1313;0.34;15.75
16;а;1289;0.34;16.09
17;до;1273;0.33;16.42
18;его;1239;0.32;16.75
19;как;1209;0.32;17.06
20;также;1048;0.27;17.34
21;он;1005;0.26;17.6
22;после;854;0.22;17.83
23;о;844;0.22;18.05
24;the;781;0.2;18.25
25;при;776;0.2;18.45
26;время;688;0.18;18.63
27;но;688;0.18;18.81
28;были;662;0.17;18.99
29;было;656;0.17;19.16
30;примечания;639;0.17;19.33
31;во;636;0.17;19.49
32;была;618;0.16;19.66
33;или;595;0.16;19.81
34;ссылки;592;0.16;19.97
35;англ;589;0.15;20.12
36;у;571;0.15;20.27
37;же;553;0.14;20.42
38;под;552;0.14;20.56
39;это;539;0.14;20.7
40;год;507;0.13;20.84
41;их;450;0.12;20.95
42;of;422;0.11;21.06
43;россии;412;0.11;21.17
44;более;403;0.11;21.28
45;так;395;0.1;21.38
46;где;392;0.1;21.48
47;i;391;0.1;21.59
48;области;377;0.1;21.68
49;со;370;0.1;21.78
50;человек;365;0.1;21.88
51;который;364;0.1;21.97
52;они;357;0.09;22.07
53;однако;357;0.09;22.16
54;её;355;0.09;22.25
55;то;350;0.09;22.34
56;города;341;0.09;22.43
57;лет;341;0.09;22.52
58;том;330;0.09;22.61
59;стал;324;0.08;22.69
60;только;320;0.08;22.78
61;история;317;0.08;22.86
62;ii;315;0.08;22.94
63;является;311;0.08;23.03
64;isbn;302;0.08;23.1
65;войны;301;0.08;23.18
66;фильм;300;0.08;23.26
67;этого;288;0.08;23.34
68;того;284;0.07;23.41
69;этом;284;0.07;23.49
70;см;283;0.07;23.56
71;все;279;0.07;23.63
72;км;275;0.07;23.71
73;сша;273;0.07;23.78
74;через;272;0.07;23.85
75;между;271;0.07;23.92
76;которые;270;0.07;23.99
77;сайте;268;0.07;24.06
78;состав;266;0.07;24.13
79;ссср;260;0.07;24.2
80;марта;260;0.07;24.27
81;августа;259;0.07;24.33
82;ноября;257;0.07;24.4
83;мая;253;0.07;24.47
84;она;253;0.07;24.53
