
Total nb of words: 21108
1;ya;8253;6.28;6.28
2;na;5386;4.1;10.37
3;wa;4824;3.67;14.04
4;kwa;2439;1.85;15.89
5;mto;2352;1.79;17.68
6;katika;2162;1.64;19.32
7;ni;1793;1.36;20.69
8;la;1433;1.09;21.78
9;za;1332;1.01;22.79
10;vya;956;0.73;23.52
11;mwaka;911;0.69;24.21
12;cha;716;0.54;24.75
13;kama;710;0.54;25.29
14;lugha;675;0.51;25.81
15;pia;630;0.48;26.29
16;kuwa;608;0.46;26.75
17;the;572;0.43;27.18
18;kwenye;531;0.4;27.59
19;nje;524;0.4;27.99
20;au;499;0.38;28.37
21;nchini;480;0.36;28.73
22;of;474;0.36;29.09
23;yake;472;0.36;29.45
24;watu;461;0.35;29.8
25;viungo;453;0.34;30.14
26;kutoka;416;0.32;30.46
27;mji;369;0.28;30.74
28;zaidi;362;0.28;31.02
29;wakati;338;0.26;31.27
30;kati;336;0.26;31.53
31;hii;335;0.25;31.78
32;baada;292;0.22;32.01
33;mara;292;0.22;32.23
34;miaka;273;0.21;32.44
35;tanzania;269;0.2;32.64
36;hadi;267;0.2;32.84
37;lakini;262;0.2;33.04
38;mkoa;260;0.2;33.24
39;orodha;250;0.19;33.43
40;wakazi;246;0.19;33.62
41;nchi;245;0.19;33.8
42;jina;237;0.18;33.98
43;idadi;237;0.18;34.16
44;marejeo;235;0.18;34.34
45;ilikuwa;235;0.18;34.52
46;pamoja;234;0.18;34.7
47;wilaya;233;0.18;34.88
48;tazama;229;0.17;35.05
49;kenya;229;0.17;35.22
50;makala;225;0.17;35.4
51;kwanza;225;0.17;35.57
52;ndani;224;0.17;35.74
53;and;220;0.17;35.9
54;kazi;219;0.17;36.07
55;mito;219;0.17;36.24
56;maji;218;0.17;36.4
57;eneo;217;0.16;36.57
58;hivyo;213;0.16;36.73
59;kata;210;0.16;36.89
60;wake;210;0.16;37.05
61;juu;209;0.16;37.21
62;kuhusu;208;0.16;37.37
63;afrika;206;0.16;37.52
64;alikuwa;201;0.15;37.68
65;sehemu;201;0.15;37.83
66;nyingi;192;0.15;37.97
67;ambayo;189;0.14;38.12
68;moja;187;0.14;38.26
69;marekani;185;0.14;38.4
70;bahari;185;0.14;38.54
71;virusi;179;0.14;38.68
72;mkuu;177;0.13;38.81
73;kubwa;177;0.13;38.95
74;sana;175;0.13;39.08
75;hata;173;0.13;39.21
76;kundi;168;0.13;39.34
77;mnamo;163;0.12;39.46
78;kawaida;159;0.12;39.58
79;huu;158;0.12;39.7
80;mtu;155;0.12;39.82
81;sababu;155;0.12;39.94
82;iko;151;0.11;40.05
83;vile;151;0.11;40.17
84;namba;149;0.11;40.28
85;uingereza;148;0.11;40.4
86;hasa;145;0.11;40.51
87;kusini;141;0.11;40.61
88;aina;141;0.11;40.72
89;tu;140;0.11;40.83
90;kwamba;140;0.11;40.93
91;in;139;0.11;41.04
92;tanbihi;138;0.1;41.14
93;kuna;138;0.1;41.25
94;hali;138;0.1;41.35
95;wasemaji;136;0.1;41.46
96;ili;135;0.1;41.56
97;kila;135;0.1;41.66
98;chini;135;0.1;41.76
99;sensa;134;0.1;41.87
100;dengi;134;0.1;41.97
101;viwanda;133;0.1;42.07
102;shule;132;0.1;42.17
103;mashariki;131;0.1;42.27
104;njia;131;0.1;42.37
105;kufuatana;130;0.1;42.47
