Rank;Log10(Rank);Log10(Freq-OS);Log10(Freq-IS)
1;0;0;0
2;0.301029996;-0.324027429;-0.288527166
3;0.477121255;-0.399810627;-0.376721947
4;0.602059991;-0.392068987;-0.398846994
5;0.698970004;-0.529988202;-0.532446435
6;0.77815125;-0.567393618;-0.54286167
7;0.84509804;-0.802462737;-0.759818877
8;0.903089987;-0.92477733;-0.888245942
9;0.954242509;-0.95176082;-0.902486381
10;1;-0.92477733;-0.912246218
11;1.041392685;-0.919576137;-0.912246218
12;1.079181246;-0.998757383;-0.987497171
13;1.113943352;-0.998757383;-0.99340603
14;1.146128036;-1.080427429;-1.057388341
15;1.176091259;-1.144885418;-1.085876879
16;1.204119983;-1.136285247;-1.116366201
17;1.230448921;-1.095667396;-1.124335131
18;1.255272505;-1.181097591;-1.157758886
19;1.278753601;-1.231071566;-1.193971059
20;1.301029996;-1.287552922;-1.276945294
21;1.322219295;-1.352493729;-1.351578912
22;1.342422681;-1.396697391;-1.351578912
23;1.361727836;-1.396697391;-1.409570859
24;1.380211242;-1.428882075;-1.409570859
25;1.397940009;-1.381457425;-1.409570859
26;1.414973348;-1.521636128;-1.425365126
27;1.431363764;-1.445915414;-1.425365126
28;1.447158031;-1.542825427;-1.458788882
29;1.462397998;-1.521636128;-1.476517649
30;1.477121255;-1.463644181;-1.495001054
31;1.491361694;-1.613406501;-1.51430621
32;1.505149978;-1.565101822;-1.534509596
33;1.51851394;-1.588582918;-1.555698895
34;1.531478917;-1.613406501;-1.555698895
35;1.544068044;-1.501432742;-1.555698895
36;1.556302501;-1.521636128;-1.577975289
37;1.568201724;-1.588582918;-1.577975289
38;1.579783597;-1.63973544;-1.601456385
39;1.591064607;-1.63973544;-1.601456385
40;1.602059991;-1.565101822;-1.626279969
41;1.612783857;-1.697727387;-1.626279969
42;1.62324929;-1.613406501;-1.626279969
43;1.633468456;-1.697727387;-1.652608908
44;1.643452676;-1.613406501;-1.652608908
45;1.653212514;-1.72991207;-1.680637631
46;1.662757832;-1.667764164;-1.680637631
47;1.672097858;-1.72991207;-1.680637631
48;1.681241237;-1.697727387;-1.742785538
49;1.69019608;-1.802462737;-1.742785538
50;1.698970004;-1.802462737;-1.777547644
51;1.707570176;-1.697727387;-1.777547644
52;1.716003344;-1.889612913;-1.777547644
53;1.72427587;-1.843855423;-1.777547644
54;1.73239376;-1.843855423;-1.777547644
55;1.740362689;-1.72991207;-1.815336205
56;1.748188027;-1.802462737;-1.815336205
57;1.755874856;-1.998757383;-1.815336205
58;1.763427994;-1.889612913;-1.815336205
59;1.770852012;-1.697727387;-1.815336205
60;1.77815125;-1.802462737;-1.85672889
61;1.785329835;-1.843855423;-1.85672889
62;1.792391689;-1.843855423;-1.85672889
63;1.799340549;-1.940765436;-1.85672889
64;1.806179974;-1.843855423;-1.85672889
65;1.812913357;-1.889612913;-1.85672889
66;1.819543936;-1.843855423;-1.85672889
67;1.826074803;-1.764674177;-1.85672889
68;1.832508913;-2.241795431;-1.85672889
69;1.838849091;-1.940765436;-1.902486381
70;1.84509804;-1.998757383;-1.902486381
71;1.851258349;-1.940765436;-1.902486381
72;1.857332496;-1.940765436;-1.902486381
73;1.86332286;-1.843855423;-1.902486381
74;1.86923172;-1.998757383;-1.902486381
75;1.875061263;-1.940765436;-1.902486381
76;1.880813592;-1.889612913;-1.902486381
77;1.886490725;-1.889612913;-1.902486381
78;1.892094603;-1.889612913;-1.902486381
79;1.897627091;-1.889612913;-1.902486381
80;1.903089987;-1.940765436;-1.902486381
81;1.908485019;-1.940765436;-1.902486381
82;1.913813852;-1.940765436;-1.902486381
83;1.919078092;-1.889612913;-1.902486381
84;1.924279286;-1.843855423;-1.902486381
85;1.929418926;-1.998757383;-1.902486381
86;1.934498451;-1.998757383;-1.902486381
87;1.939519253;-1.998757383;-1.902486381
88;1.944482672;-1.998757383;-1.902486381
89;1.949390007;-1.889612913;-1.902486381
90;1.954242509;-1.802462737;-1.902486381
91;1.959041392;-1.889612913;-1.902486381
92;1.963787827;-1.889612913;-1.902486381
93;1.968482949;-1.940765436;-1.953638903
94;1.973127854;-1.940765436;-1.953638903
95;1.977723605;-1.940765436;-1.953638903
96;1.982271233;-1.940765436;-1.953638903
97;1.986771734;-1.889612913;-1.953638903
98;1.991226076;-1.998757383;-1.953638903
99;1.995635195;-2.542825427;-1.953638903
100;2;-1.889612913;-1.953638903
101;2.004321374;-1.940765436;-1.953638903
102;2.008600172;-1.998757383;-1.953638903
103;2.012837225;-1.889612913;-1.953638903
104;2.017033339;-2.065704172;-1.953638903
105;2.021189299;-1.940765436;-1.953638903
106;2.025305865;-2.065704172;-1.953638903
107;2.029383778;-1.998757383;-2.01163085
108;2.033423755;-1.940765436;-2.01163085
109;2.037426498;-1.998757383;-2.01163085
110;2.041392685;-1.998757383;-2.01163085
111;2.045322979;-2.065704172;-2.01163085
112;2.049218023;-1.998757383;-2.01163085
113;2.053078443;-2.065704172;-2.01163085
114;2.056904851;-1.940765436;-2.01163085
115;2.06069784;-1.940765436;-2.01163085
116;2.064457989;-2.144885418;-2.01163085
117;2.068185862;-1.940765436;-2.01163085
118;2.071882007;-2.144885418;-2.01163085
119;2.075546961;-1.998757383;-2.01163085
120;2.079181246;-2.366734168;-2.01163085
121;2.08278537;-1.998757383;-2.01163085
122;2.086359831;#N/A;-2.01163085
123;2.089905111;-2.144885418;-2.01163085
124;2.093421685;-2.065704172;-2.01163085
125;2.096910013;-2.065704172;-2.01163085
126;2.100370545;-1.940765436;-2.01163085
127;2.103803721;-1.998757383;-2.07857764
128;2.10720997;-2.065704172;-2.07857764
129;2.11058971;-1.998757383;-2.07857764
130;2.113943352;-2.065704172;-2.07857764
131;2.117271296;-1.998757383;-2.07857764
132;2.120573931;-2.065704172;-2.07857764
133;2.123851641;-1.998757383;-2.07857764
134;2.127104798;-2.065704172;-2.07857764
135;2.130333768;-2.144885418;-2.07857764
136;2.133538908;-2.366734168;-2.07857764
137;2.136720567;-2.241795431;-2.07857764
138;2.139879086;-2.241795431;-2.07857764
139;2.1430148;-2.065704172;-2.07857764
140;2.146128036;-2.065704172;-2.07857764
141;2.149219113;-2.144885418;-2.07857764
142;2.152288344;-2.065704172;-2.07857764
143;2.155336037;-2.241795431;-2.07857764
144;2.158362492;-2.144885418;-2.07857764
145;2.161368002;-1.998757383;-2.07857764
146;2.164352856;-2.366734168;-2.07857764
147;2.167317335;-2.065704172;-2.07857764
148;2.170261715;-2.241795431;-2.07857764
149;2.173186268;-2.144885418;-2.07857764
150;2.176091259;-2.065704172;-2.07857764
151;2.178976947;-2.144885418;-2.07857764
152;2.181843588;-2.065704172;-2.157758886
153;2.184691431;-2.065704172;-2.157758886
